institucion,accion,dominio_real,nombre_real,ciudad_real,fusionar_con,evidencia
University of Waikato College,corregir_dominio,college.waikato.ac.nz,,Hamilton,,"navitas.com es el sitio corporativo del grupo, no el del college. El college tiene sitio propio: college.waikato.ac.nz responde 200 (verificado 2026-09-10), titulado 'Home - University of Waikato College', y publica Foundation Studies, Academic English, General English y el Diploma in Postgraduate Preparation (Pre-Masters). Esta dentro del campus de la Universidad de Waikato en Hamilton, por eso la ciudad vacia se llena con Hamilton. No se fusiona con waikato.ac.nz: la universidad y su pathway college son entidades distintas."
SAE Netherlands B.V.,corregir_dominio,sae.nl,,,,"Confirmo lo que vio el auditor y lo desambiguo: el campus holandes vive en la ruta sae.edu/nld/ (200, 'SAE Institute Netherlands', campus Amsterdam, con Audio/Film/Game Art Production, certificados y MA/MSc Professional Practice titulados por University of Hertfordshire). Existe dominio propio sae.nl, que responde 200 y redirige a sae.edu/nld/ (verificado 2026-09-10), asi que sirve como puntero unico al campus holandes. NO es duplicado de SAE Institute GmbH: esa es la entidad alemana y vive en sae.edu/deu/ (verificado 200). Son miembros distintos de la misma red sobre un mismo host; hay que acotar la extraccion a /nld/ o se cuelan los campus de todos los paises."
ESIC Business & Marketing School,fusionar,esic.edu,,,ESIC Universidad,"Misma entidad con dos marcas, como vio el auditor. esic.edu (200, verificado 2026-09-10) se presenta en cabecera como 'ESIC University - Transformation with Purpose' y trata a ESIC Business & Marketing School como su denominacion anterior; es un solo sitio con un solo catalogo (126 programas declarados) y los mismos campus: Madrid, Barcelona, Valencia, Zaragoza, Pamplona, Bilbao, Sevilla, Malaga, Granada, mas Medellin y Curitiba. Sobrevive 'ESIC Universidad' por ser el nombre vigente que usa la propia institucion. AVISO (no lo corrijo): esta ficha trae puede_vender=[pregrado,posgrado] y la superviviente trae 'todos'; al fusionar hay que decidir a mano cual es el contrato real con la agencia."
ESIC Universidad,sin_cambio,,,,,"Ficha superviviente de la fusion con 'ESIC Business & Marketing School' (ver esa fila). El dominio esic.edu es correcto y esta vivo: responde 200 el 2026-09-10 y su cabecera dice 'ESIC University'. Un solo catalogo de 126 programas para los 9 campus espanoles mas Medellin y Curitiba, asi que se extrae una sola vez desde aqui. No pongo ciudad porque son 11 sedes y ninguna es 'la' sede del catalogo. Sin cambio de dominio ni de nombre."
IED,sin_cambio,,,,,"El dominio actual ya es el correcto: ied.es responde 200 y iedmadrid.com redirige hacia el (comprobado con curl -L el 2026-09-10, URL final www.ied.es), tal como reporto el auditor. NO es duplicado de 'ILEM SRL - ACCADEMIA DI BELLE ARTI ALDO GALLI': esa es la academia de Como y tiene sitio propio, accademiagalli.it (verificado 200). Es un reparto de red al estilo navitas, y a IED Espana le toca ied.es. Al extraer hay que filtrar por ciudad (Madrid, Barcelona, Bilbao/IED Kunsthal) porque el mismo sitio lista tambien las sedes italianas (Milan, Roma, Florencia, Como). Nota: 'IED' es la sigla; la marca completa es Istituto Europeo di Design, pero no la cambio porque la sigla es como opera en Espana."
HERTFORDSHIRE INTERNATIONAL COLLEGE (HIC),sin_cambio,,,,,"hic.herts.ac.uk responde 200 (verificado 2026-09-10) y es el sitio propio del college ('Home - Hertfordshire International College', pathway de Navitas dentro de la University of Hertfordshire, campus College Lane y de Havilland en Hatfield). El dominio es correcto, no cambia. Sobre el dominio compartido: la otra ficha, 'University of Hertfordshire - HIC', lleva HIC en el nombre y apunta a este mismo host del college y no a herts.ac.uk, asi que es la misma entidad escrita distinto y debe fusionarse HACIA esta ficha, que es la que nombra bien al college y trae la ciudad Hatfield. No emito 'fusionar' desde este lado porque la superviviente es esta y porque no puedo ver los campos de la otra: si resultara contener el catalogo de la universidad, fusionar seria justo el error de mezclar universidad con pathway college."
High Schools International,sin_cambio,,,,,"hsinet.org responde 200 (verificado 2026-09-10) y es una sola organizacion con dos oficinas: Mocatta House, Trafalgar Place, Brighton BN1 4DU (Reino Unido) y Castleriver House, 14-15 Parliament Street, Dublin 2 (Irlanda), con un unico catalogo que cubre Irlanda, Reino Unido, Canada y EE.UU. No existe sitio irlandes aparte: hsi.ie y highschoolsinternational.ie no resuelven (curl sin respuesta). Por tanto 'High Schools International Ireland' es la misma entidad escrita distinto y debe fusionarse HACIA esta ficha, que lleva el nombre real de la organizacion; no emito 'fusionar' desde este lado porque esta es la superviviente. AVISO (no lo corrijo): HSI es un proveedor de colocacion y guardianship (miembro fundador de la AGPI), no un colegio; la categoria 'High School' es imprecisa y su 'catalogo' son 150+ colegios socios, no programas propios."
ICP - University of Portsmouth,corregir_dominio,icp.navitas.com,International College Portsmouth (ICP),,,"navitas.com es el portal corporativo del grupo; cada college tiene su subdominio. El de este es icp.navitas.com, que responde 200 (verificado 2026-09-10) con 'Home | International College Portsmouth' y su pagina /about/, y publica los pathways de pregrado y posgrado hacia mas de 100 titulaciones de la University of Portsmouth. Corrijo tambien el nombre: la entidad es International College Portsmouth, no la universidad; dejarlo como 'ICP - University of Portsmouth' invita a extraer port.ac.uk y cargarle a un pathway college el catalogo entero de la universidad."
ICRGU - Robert Gordon University,corregir_dominio,icrgu.navitas.com,International College at Robert Gordon University (ICRGU),Aberdeen,,"Mismo caso de red que ICP: navitas.com es el sitio del grupo y el college vive en icrgu.navitas.com, que responde 200 (verificado 2026-09-10) con paginas propias /about/ y /study/undergraduate/ y publica Foundation (Health Science, Life Science, Nursing, Pharmacy), entrada a Year One y Pre-Masters de 10 semanas hacia titulos de Robert Gordon University. Corrijo el nombre a la entidad real (el college, no la universidad) y normalizo la ciudad 'Aberdeen, Scotland' a Aberdeen. No fusionar con rgu.ac.uk: universidad y pathway college son entidades distintas."
International House - LSI PORTSMOUTH,corregir_dominio,lsi-portsmouth.co.uk,,,,"ihworld.com es el sitio de la International House World Organisation, no el de la escuela. Su ficha en ihworld.com/schools/countries/united-kingdom/ih-portsmouth/ da el sitio propio: lsi-portsmouth.co.uk, que responde 200 (el www redirige al dominio raiz, verificado 2026-09-10) y se identifica como 'LSI/IH Portsmouth - Language Specialists International', 2-2A Isambard Brunel Road, Portsmouth PO1 2DU. Publica su propio catalogo: General English, IELTS, Cambridge, OET, Business/Executive English, pre-sessional universitario, English 30+ y CELTA. Es miembro de la red IH, no un duplicado de las otras IH: cada escuela (Londres, Newcastle, Malta) tiene su propio sitio."
