institucion,dominio_anterior,dominio_nuevo,nombre_real,nota
PAX Education,,pax.edu.au,Pax Institute of Education,"La ficha no traia dominio. OJO, DOS AVISOS. Primero: paxeducation.com.au responde 200 pero es un lander de parking de GoDaddy (redirige a /lander), no es el colegio. Segundo: el sitio real, pax.edu.au (Pax Institute of Education, Melbourne, RTO 22207, CRICOS 03152D), NO dicta ingles: cero apariciones de English, ELICOS o IELTS en la portada. Sus 9 cursos son cocina comercial, hospitalidad y mecanica automotriz (SIT y AUR). La categoria 'Instituto Idiomas' y puede_vender=[idiomas] estan mal; conviene confirmar con el cliente que 'PAX Education' es este Pax Institute antes de extraer."
Phoenix Academy,phoenix.wa.edu.au,phoenix.edu.au,Phoenix Academy,"phoenix.wa.edu.au responde pero con 301 permanente a www.phoenix.edu.au; usar el nuevo. 30 cursos en courses-sitemap.xml. puede_vender=[idiomas] se queda corto: ademas de ELICOS hay VET propio (BSB Cert I a Diploma de Business, Leadership, Project Management, TAE40122), preparacion high school, university preparation y formacion docente CELTA/TESOL. Perth."
Sarina Russo,sarinarusso.com.au,sri.edu.au,Sarina Russo Institute (parte del Sarina Russo Group),"sarinarusso.com.au vive y es del grupo, pero NO tiene catalogo: revisando todos sus enlaces, es un sitio corporativo de servicios de empleo (Workforce Australia, discapacidad, emprendimiento) con paginas de seccion educativa pero ni una ficha de curso. El catalogo real esta en sri.edu.au y es pequeno: 6 cursos de ingles internacionales (Intensive General English, Unipath 1 y 2, Bridging English Entry, IELTS Advanced, study tours) y 2 certificados domesticos (BSB40320, CHC41115). puede_vender=[vocacional,pregrado,posgrado,idiomas] no se sostiene: el pregrado y posgrado no son suyos, son de Russo Business School y de James Cook University Brisbane (socio) — extraer del dominio del grupo meteria titulos de JCU en la ficha de Sarina Russo."
Superior Training Centre,,stc.nsw.edu.au,Superior Training Centre,"La ficha no traia dominio ni ciudad. Es Superior Training Centre Pty Ltd, RTO 41122, CRICOS 03591C, en Unit 113 York Road, Ingleburn NSW 2565 (Sydney) — confirmado contra training.gov.au, studyaustralia.gov.au y el propio sitio. CUIDADO: superiortraining.com.au es un lander de parking de GoDaddy, no es el colegio. Oficios electricos y de refrigeracion (UEE, MEM) mas cursos cortos. Las 22 fichas de /course/ estan en el sitemap de productos WooCommerce (wp-sitemap-posts-product-1.xml) y NO en una pagina /courses/, que da 404; ademas la misma cualificacion aparece repetida en version apprenticeship, CRICOS y blended, y hay un 'test-course' de pruebas: cualificaciones distintas son unas 10."
The Business School,,tbs.edu.au,The Business School (TBS),"La ficha no traia dominio. Es tbs.edu.au, Suite 4, 59-63 Evaline St, Campsie NSW (Sydney). NO confundir con thebusinessschool.edu.au, que responde 200 pero es una pantalla de login de Moodle de otra entidad. 8 cualificaciones VET (BSB40120, BSB40520, BSB50120, BSB50420, BSB50820, BSB60720, CHC33021 y 10904NAT Diploma of Social Media Marketing) mas 3 cursos ELICOS con status NEAS (General English, EAP, IELTS Preparation): puede_vender=[vocacional] deja fuera el ingles. No hay pagina indice unica; el catalogo se arma desde los menus de International Students y Domestic Students."
The University of Queensland,,study.uq.edu.au,,"La ficha no traia dominio. El institucional es uq.edu.au (vivo, Brisbane), pero el catalogo esta en el subdominio study.uq.edu.au y ahi es donde hay que extraer. TRAMPA DE CONTEO: el sitemap tiene 6053 URLs bajo /study-options/programs/ porque multiplica programa x especialidad x anio (?year=2026); los programas raiz distintos son 343. Si la extraccion devuelve miles, esta contando planes de estudio. puede_vender=['todos'] no es cierto: UQ no tiene VET ni high school; el ingles es de ICTE-UQ y el pathway de UQ College, ambos aparte."
ICL - Education Group,,icl.ac.nz,ICL Graduate Business School,"Ficha sin dominio ni ciudad ni puede_vender. 'ICL Education Group' es la marca paraguas; el sitio operativo es icl.ac.nz = ICL Graduate Business School, PTE en 10-14 Lorne Street, Auckland CBD. Catalogo real: 2 bachelors en Business Information Systems, 4 graduate diplomas (incluido Teaching ECE), 6 masters (Management y Business Informatics, con via por tesis), 2 postgraduate diplomas y NZ Diploma in Business. NO se ve high school ni idiomas puros."
Kapiti College,,kc.school.nz,Kapiti College / Te Kura Tuarua o Kapiti,"Ficha sin dominio, sin ciudad y sin puede_vender: es un COLEGIO ESTATAL de secundaria en Raumati Beach, Kapiti Coast (no un 'College Privado'). La categoria de la ficha esta mal. Publica 'course information' por nivel/ano pero no un catalogo de programas vendibles: para un agente de estudios esto es high_school, no un listado de cursos. OJO tecnico: kc.school.nz no resuelve desde algunas redes NZ-externas (a mi resolver local le da timeout) aunque el A record existe; usar 8.8.8.8."
Kerikeri High School,,kerikerihigh.ac.nz,Te Kura Tuarua o Te Kerikeri / Kerikeri High School,"Ficha sin dominio. OJO: el dominio es .ac.nz, NO el .school.nz que uno esperaria de un colegio (kerikerihigh.school.nz esta en NXDOMAIN). Colegio estatal Y7-Y13 en Kerikeri, Bay of Islands. No publica catalogo de programas: solo secciones 'Academic Overview' y 'Academic Opportunities' mas la seccion International (86 estudiantes internacionales, estancias desde un termino de 10 semanas, programas Academic Plus de vela, surf y equitacion, colocacion en ESOL o mainstream tras test). Existe ademas un micrositio kkhsinternational.ac.nz para internacionales."
Nelson English Centre,,english-school.ac.nz,Nelson English Centre,"Ficha sin dominio, sin ciudad y sin puede_vender. Esta en NELSON (Isla Sur) y es solo idiomas. OJO: el dominio NO tiene nada que ver con el nombre - es english-school.ac.nz, que es exactamente el tipo de dominio generico que se confunde con otra escuela; confirmado por IALC, que solo acredita a dos escuelas en NZ y esta es una. Abierta desde 1995. Bloques del catalogo: Courses Overview, Specialised (General e Intensive), 50+ English + Activities, English + Golf, English + Mountain Biking, Family + English, Teaching For You."
North Shore International Academy,,culinarycollective.co.nz,The Culinary Collective (NZMA),"Ficha sin dominio. La MARCA NSIA YA NO EXISTE: se fusiono con NZMA y opera como 'The Culinary Collective'; su dominio historico nsia.ac.nz sigue registrado (NS de Azure) pero SIN registro A, o sea sitio caido. El sitio nuevo lo dice explicito: 'tu matricula es con NZMA y el titulo lo emite NZMA'. Campus Sylvia Park, Auckland Central y Hamilton. RIESGO DE DUPLICADO: esta ficha y la de 'New Zealand Management Academies Limited' apuntan hoy a la misma entidad y al mismo catalogo de cocina; hay que decidir cual se queda."
Orewa College,,orewacollege.nz,Orewa College,"Ficha sin dominio ni ciudad. OJO: el dominio es orewacollege.nz a secas, NO orewacollege.school.nz (ese esta en NXDOMAIN). Esta en Orewa, Hibiscus Coast, al norte de Auckland. Correccion de ficha: es un COLEGIO ESTATAL, no 'College Privado', y el puede_vender 'todos' es falso - solo high school. No publica catalogo de programas vendibles sino 13 areas curriculares (Commerce, Design Technology, English, Health and PE, Humanities, Languages, Maths, Performing Arts, Rumaki, Science, Te Ao Maori, Visual Arts, Y7-8). 86 internacionales de 17 paises en 2025."
Pakuranga College,,pakuranga.school.nz,Pakuranga College,"Ficha sin dominio. Colegio estatal en Half Moon Bay, Auckland (la ficha solo dice 'Auckland'). La categoria 'College Publico' de la ficha SI acierta, pero el puede_vender 'todos' no: aqui no hay pregrado, posgrado ni vocacional. No publica un handbook de asignaturas navegable en el sitio publico; solo la seccion /curriculum/ con descripcion general. Para extraccion de programas rinde practicamente cero."
South Seas Film & Television,,yoobee.ac.nz,Yoobee Colleges - South Seas Film School (campus),"Ficha sin dominio. South Seas Film & Television School dejo de ser institucion independiente: en 2019 se fusiono con Animation College, Yoobee School of Design, AMES y Arts (Canterbury) bajo la marca YOOBEE COLLEGES, y hoy es solo el nombre de un campus en la North Shore de Auckland. OJO PARA LA EXTRACCION: yoobee.ac.nz tiene ~32 cursos en total (diseno, animacion, tecnologia, film); a esta ficha le corresponden SOLO los ~6 de /courses/film - Diploma in Film and Content Creation, Diploma in Film and TV Production, Diploma in Screen and Stage Acting, Diploma in Drama (Screen Acting), Certificate in Creative Media y Certificate in Foundation Skills. Si la extraccion trae 30, se llevo el catalogo de todo Yoobee."
Te Pukenga,,nzist.ac.nz,New Zealand Institute of Skills and Technology (NZIST),"Ficha sin dominio. tepukenga.ac.nz redirige 301 a nzist.ac.nz: Te Pukenga fue RENOMBRADO a NZIST y ademas esta siendo DESMANTELADO - varias divisiones se independizaron el 1-1-2026 y las cuatro restantes (NorthTec, Tai Poutini, WITT y Whitireia & WelTec) salen antes del 1-1-2027. El sitio es corporativo/de gobernanza, NO un catalogo: solo tiene un directorio 'find a learning provider'. Esta ficha NO se puede extraer como institucion unica; si el cliente quiere los programas hay que abrir una ficha por politecnico (Ara, Otago Poly, Unitec, WelTec...). La ciudad 'Hamilton' de la ficha era la sede administrativa."
Trinity Catholic College,,trinity.school.nz,Trinity Catholic College,"Ficha sin dominio. Colegio catolico integrado al estado en Dunedin - la ciudad de la ficha esta bien, pero 'College Privado' no: es state-integrated, no privado. Si publica listado de asignaturas por nivel (/curriculum/subjects), con Te Timataka, opciones de Y7-9, core de Y10 y asignaturas NCEA de Y11-13. Cumplio 150 anos."
"UDIT Universidad de Diseño, Innovacion y Tecnologia",,udit.es,"UDIT - Universidad de Diseño, Innovacion y Tecnologia","La ficha no traia dominio. Es udit.es (ex-ESNE, universidad privada desde 2022). Sitio Gatsby/Griddo: el menu se arma por JS y las rutas obvias (/estudios/, /grados/, /oferta-academica/) dan 404 — el listado vive en /programas-udit/ y el conteo exacto sale del sitemap-programdetail.xml (44 fichas). Hay mas de lo que autoriza la ficha: FP de grado medio, un doctorado y campamentos de verano."
Universidad Catolica de Valencia,,ucv.es,Universidad Catolica de Valencia San Vicente Martir,"La ficha no traia dominio. Es ucv.es. Mas de 100 titulos entre grados (27), dobles grados (18) y postgrados. OJO: los cursos de idiomas NO estan en ucv.es sino en un dominio aparte del Instituto de Lenguas (institutodelenguas.es) — si se extrae solo ucv.es no aparece nada de idiomas."
Universidad Pontificia de Salamanca,,upsa.es,Universidad Pontificia de Salamanca,"La ficha no traia dominio ni ciudad. Es upsa.es, Salamanca (con sede tambien en Madrid). El listado se carga por JS y se filtra por categoria: grados, dobles grados, bachiller/licenciaturas eclesiasticas, masteres universitarios, masteres de formacion permanente y doctorados. La ficha dice 'todos' pero no hay idiomas ni high school."
SAE Institute Switzerland AG,,sae.edu,SAE Institute Switzerland,"La ficha no traia dominio. No existe un dominio suizo propio: la sede suiza vive dentro del sitio global en la ruta /che/ (sae.edu/che/), en aleman. Confirmados los dos campus de la ficha, Zurich (Buckhauserstrasse 24) y Ginebra. Los bachelors y masters no los otorga SAE sino la University of Hertfordshire como validating partner — dato relevante para como se venda."
BCUIC - Birmingham City University,bcuic.navitas.com,bcuic.bcu.ac.uk,Birmingham City University International College,"bcuic.navitas.com vive pero redirige a bcuic.bcu.ac.uk, que es el dominio bueno. OJO: es un pathway college de Navitas, no la universidad — no otorga titulos propios; son ~20 rutas de pregrado, ~14 de posgrado (pre-masters) y Pre-Sessional English, todas para progresar a un grado de BCU. La ficha dice 'posgrado' a secas: lo que se vende aqui es la ruta preparatoria, no el master."
BLC - Bristol Language Centre,,blc-english.com,Bristol Language Centre,"La ficha no traia dominio. Es blc-english.com (3 Portwall Lane, Redcliffe, Bristol BS1 6NB), acreditada British Council y activa — tiene cursos de verano publicados para 2026. AVISO PARA LA EXTRACCION: el sitio esta detras de un muro anti-bot (Anubis, within.website) que devuelve 406 a curl y errores de protocolo a los fetchers, incluso con User-Agent de Chrome, cabeceras Sec-Fetch-* o Googlebot. Va a necesitar navegador real, no HTTP pelado."
Bournemouth University,,bournemouth.ac.uk,,"La ficha no traia dominio. bournemouth.ac.uk vive y es la universidad; ojo que NO esta en Bournemouth ciudad sino en Fern Barrow, Poole (Dorset). El catalogo se abre en /courses partido en tres listados (undergraduate, postgraduate taught, postgraduate research) mas foundation degrees; no hay un listado plano unico. El pathway que autoriza la ficha lo entrega Bournemouth University International College (Kaplan), que es sitio aparte y no cuelga de este catalogo. www.bournemouth.ac.uk/study/courses da 403 a fetch pelado y 200 con User-Agent de Chrome, redirigiendo a /courses."
Brunel University,,brunel.ac.uk,Brunel University of London,"La ficha no traia dominio. Correccion de nombre: desde 2024 se llama Brunel University OF London (antes Brunel University London). Campus unico en Uxbridge, oeste de Londres. El buscador filtra por nivel: foundation, pregrado, posgrado, research degrees, pre-Masters y CPD, y no declara total; el listado es A-Z."
Bucksmore Education,,bucksmore.com,Bucksmore Education,"La ficha no traia dominio ni categoria. NO es un colegio ni una universidad: es un operador de cursos de verano y tutoria para 11-17 anos que alquila sedes ajenas (OIC Brighton, King's College London, d'Overbroeck's y St Hilda's en Oxford, St Catharine's en Cambridge). Unas 44 opciones entre English Foundation (9), Young Professionals (11), Pre-University (14) y home tuition (10). No emite titulos propios; nada de pregrado ni posgrado."
Cardiff University,isc.cardiff.ac.uk,cardiff.ac.uk,,"El dominio de la ficha, isc.cardiff.ac.uk, VIVE pero es solo el International Study Centre que opera Study Group: unas 5 fichas de pathway (International Foundation Year, foundation acelerado de 22 semanas, International Year One, Pre-Master's y preparacion de ingles). NO es el catalogo de la universidad. Para el posgrado que autoriza la ficha hay que ir a cardiff.ac.uk. Ciudad de la ficha mal expresada: Gales es el pais, la ciudad es Cardiff."
