# Lote 33 · 2026-08-07
# Nota de entorno: la red intercepta TLS (Avast Web/Mail Shield re-firma TODOS los certificados),
# por lo que NO fue posible verificar vencimiento/validez real de certificados en este lote.
# Todos los checks HTTP se hicieron con UA de Chrome + headers de navegador; los dominios muertos
# se confirmaron con NXDOMAIN contra 8.8.8.8.

IELI - Intensive English Language Institute | no | ieli.sa.edu.au (NXDOMAIN) | ? | ? | ? | ? | ? | institucion | DOMINIO MUERTO · NXDOMAIN confirmado contra 8.8.8.8 (la zona sa.edu.au sí existe · el subdominio ieli no). Buscadores aún lo indexan pero no resuelve. IELI era la escuela de inglés ligada a Flinders University (CRICOS 02916F · contacto ieli@flinders.edu.au) → probable absorción por Flinders o cierre. Verificar con el proveedor antes de vender
Westfield Education | si | westfieldeducation.ca | Westfield Secondary School ("Westfield Education" sólo como marca en el footer) | parcial | https://www.westfieldeducation.ca/signature-programs | ~6 | Lower Division y Upper Division (secundaria) · IB Diploma Programme · STEAM · Arts · Athletics | institucion | El nombre real de la escuela es "Westfield Secondary School" · no hay catálogo de cursos enumerable (son divisiones y programas insignia · no cursos). `puede_vender` trae "High School" DUPLICADO. Sede 33 Mallard Road, Toronto ON M3B 1S4
University of West England | si | uwe.ac.uk | University of the West of England, Bristol (UWE Bristol) | parcial | https://courses.uwe.ac.uk/Search/ | 647 | Undergraduate 116 · Foundation 60 · Degree Apprenticeship 25 · Postgraduate taught 133 · Professional/Short 296 · PG Research 17 | institucion | Nombre de la ficha mal escrito: es "University of the WEST of England". Catálogo = buscador dinámico paginado (54 páginas x 12 resultados) con filtro de año académico · NO es lista enumerable · la extracción necesita paginar el search
Navitas | si | navitas.com | Navitas Pty Limited (ABN 69 109 613 309) | si | https://www.navitas.com/study/courses/ | 700+ programas en 100+ colleges | Pathway · Foundation · Diploma · pregrado · postgrado | grupo | NO ES UNA INSTITUCIÓN · es el HOLDING: 100+ colleges y campus en 18 países, 38 universidades socias, ~60.000 estudiantes/año. `puede_vender`="Todos los programas" sobre un holding es inutilizable comercialmente. Cada pathway college (SAE, Deakin College, ACAP, Brunel/BCU/Swansea pathways…) tiene dominio propio · esta ficha debería explotarse en fichas por college
Cornestone | si | ciccc.ca | Cornerstone International Community College of Canada (CICCC) | parcial | https://ciccc.ca/en#programs (fichas en /en/programs/<slug>) | ~20 | Diplomas de 6-12 meses · certificados · ESL/FSL/CELPIP · TESL · 6 certificados de IA | institucion | Nombre de la ficha MAL ESCRITO y truncado ("Cornestone" → Cornerstone International Community College of Canada). `category`=null y `puede_vender`=[] VACÍO pese a que vende vocacionales E idiomas. El índice de programas es un ancla del home (/en#programs) · /en/programs redirige al home → la extracción tiene que recorrer los slugs uno por uno
George Brown College | bloquea | georgebrown.ca (Akamai · a1206.b.akamai.net · 2.21.75.234/.238) | ? | ? | ? | ? | ? | institucion | NO ESTÁ CAÍDO · DNS resuelve contra 8.8.8.8. El WAF de Akamai devuelve 403 "Access Denied" incluso con UA de Chrome + Accept-Language + Sec-Fetch-* completos (ref #18.4441502). Bloqueo sostenido en home y en /programs → la extracción necesitará navegador real o acuerdo con el college. Typo en la ficha: ciudad "Totonto" → Toronto
Government Education and Training International Tasmania (GETI) | redirige | study.tas.gov.au · el path de la ficha /study/government-schools redirige a /study/ | Department for Education, Children and Young People (Tasmania) · "International Student Program" | no | https://study.tas.gov.au/study/ | 120+ primarias y 18 high schools acreditadas | Primaria y secundaria pública | red | FANTASMA: el acrónimo GETI NO APARECE en ninguna parte del sitio (marca retirada). NO es institución sino el programa de estudiantes internacionales del gobierno de Tasmania · paraguas de ~140 colegios públicos. El path de la ficha ya no existe. Ficha sin ciudad, sin category y con `puede_vender` vacío
Hofstra University | si | hofstra.edu | Hofstra University | si | https://www.hofstra.edu/academics/academic-offerings/ | 175 pregrado + 200 postgrado en 13 escuelas | Pregrado · postgrado · doctorado · medicina · derecho | institucion | `partner_group`="INTO" NO SE PUDO CONFIRMAR: cero menciones de INTO en hofstra.edu, la página /admission/international-students.html da 404 y Hofstra no aparece en intostudy.com. Indicio fuerte de convenio TERMINADO → no vender pathway INTO Hofstra sin verificar. Ficha sin ciudad (real: Hempstead, NY 11549)
High School Abbotsford 34 SD | si | abbyschools.ca · el sitio del programa internacional es international.abbyschools.ca | Abbotsford School District (SD34) | parcial | https://international.abbyschools.ca/ | distrito completo (secundarias + middle + primarias) | K-12 · AP · IB · academias deportivas · Integrated Arts · Outdoor Ed · "Cool Courses" | red | NO ES UN HIGH SCHOOL sino un DISTRITO ESCOLAR público de BC. El dominio de la ficha es el corporativo del distrito · el sitio que realmente sirve al estudiante internacional es international.abbyschools.ca (debería ser el `sitio`). `puede_vender` trae "High school"/"High School" duplicado con distinta capitalización
RUFA - Rome University of Fine Arts | si | unirufa.it | Rome University of Fine Arts - RUFA | si | https://www.unirufa.it/offerta-formativa/corsi-accademici-triennali/ (7 subsecciones bajo /offerta-formativa/) | ~25 | Triennali/bachelor 10 · Secondo livello/master 6 · Master accademici 4 · Dottorati di ricerca · Corsi brevi · Foundation Course · Summer Academy | institucion | El índice /offerta-formativa/ y /en/academic-offer/ dan 404 · sólo responden las 7 subsecciones → catálogo NO enumerable desde una sola URL. `puede_vender` incluye "Idiomas" y RUFA NO ofrece cursos de idioma (ni italiano para extranjeros): sólo arte, diseño, cine, moda. `tipo_adivinado`="vacacional" incorrecto. Además de Roma tiene campus en Milán
University of Applied Sciences Europe | si | ue-amsterdam.com | University of Applied Sciences Europe (UE Amsterdam) | parcial | https://www.ue-amsterdam.com/programs | 3 | MSc in Business Management · Bachelor of Business Administration (BBA) · short courses "IC Shorts" | institucion | El dominio es SÓLO el campus de Amsterdam (Passeerdersgracht 23 · acreditación holandesa NVAO/NRTO) con 3 programas. La University of Applied Sciences Europe matriz es ALEMANA (Berlín/Hamburgo/Iserlohn) y su catálogo vive en ue-germany.com → `puede_vender`="Todos los programas"/"Pregrado & Postgrado" NO se cubre con este dominio. `partner_group`="GUS" no se menciona en el sitio
