# Lote 19 · 16 instituciones · 2026-08-07 · solo dominio oficial de cada ficha · UA de Chrome en todos los fetch · DNS verificado contra 8.8.8.8 y 1.1.1.1
Cairns College of English & Business - CCEB | si | cceb.qld.edu.au | Cairns College of English and Business | si | https://cceb.qld.edu.au/courses/ | ~25-30 | ELICOS (General, Academic, IELTS, Cambridge) + VET Cert III a Advanced Diploma | institucion | RTO 40520 / CRICOS 03251A · puede_vender dice solo "Vocacionales" pero mas de la mitad del catalogo es ELICOS: falta "Idiomas" en la ficha
John Paul College | si | www.jpic.com.au | John Paul International College (JPIC) | parcial | ? (SharePoint con navegacion por JS · sin pagina de programas enumerable en el HTML) | pocos · ingles intensivo para primaria y secundaria + study tours | Idiomas / ELICOS para escolares | institucion (brazo internacional de John Paul College) | FICHA FANTASMA PARCIAL: el dominio NO es el del colegio. John Paul College vive en jpc.qld.edu.au (responde 200); jpic.com.au es el John Paul INTERNATIONAL College, su brazo ELICOS · catalogo NO enumerable (SharePoint, nav por JS, /Pages/Programs.aspx da 404) · ficha con ciudad null, category null y puede_vender vacio
Lancaster University | si | www.lancasterleipzig.de | Lancaster University Leipzig · branch campus de Lancaster University (UK), operado por Navitas | parcial | https://www.lancasterleipzig.de/study/undergraduate/courses/ y /study/postgraduate/courses/ | ~15 | Foundation, Pre-Master's, Bachelor, Master | institucion (campus operado por Navitas) | la ficha dice "Lancaster University" a secas: esto NO es lancaster.ac.uk sino el campus de Leipzig, con catalogo propio y mucho mas pequeño · "Todos los programas" es falso (no hay PhD ni idiomas) · riesgo de que la extraccion venda programas de la UK que aqui no existen
Massey University | si | www.massey.ac.nz | Te Kunenga ki Purehuroa - Massey University | si | https://www.massey.ac.nz/study/find-a-subject-course-or-qualification/ | ~170 qualifications / 2.700+ cursos | Pregrado, postgrado, doctorado, online | institucion | catalogo detras de BUSCADOR dinamico, no lista plana enumerable · ficha con typo en ciudad ("Palmestorn North" = Palmerston North) y el sitio lista Auckland, Wellington y Manawatu
EQUALS International (Aust) | redirige | equals.edu.au (cae el www) | EQUALS International (Aust) Pty Ltd | si | https://equals.edu.au/courses/ | 40+ | VET (Cert a Diploma) + Higher Ed hasta Master of Social Work | institucion (RTO 3492 · TEQSA PRV14279 · CRICOS 02804C) | ficha con category null y puede_vender VACIO pese a tener 40+ cursos, CRICOS activo y admision internacional abierta: hay que llenarla
MTA Institute | no | - (mtai-international.edu.au sin registro A ni AAAA) | ? | ? | ? | ? | ? | ? | DOMINIO SIN WEB: mtai-international.edu.au tiene SOA/NS en netregistry pero CERO registros A/AAAA en 8.8.8.8 y en 1.1.1.1 · www.mtai-international.edu.au = NXDOMAIN · el candidato natural mtainstitute.edu.au tampoco tiene A · mtainstitute.com.au responde 522 (origen caido detras de Cloudflare) · OJO: mta.edu.au NO es esta institucion, es "Marine Training Academy" (RTO 30683, nautica) · hoy no hay ninguna via de extraccion para esta ficha
Menzies Institute of Technology | si | menzies.vic.edu.au | logo y footer dicen "Menzies College of Nursing & Health Pty Ltd"; el cuerpo del texto todavia dice "Menzies Institute of Technology" | parcial | https://menzies.vic.edu.au/courses/ | ~15 | Cert III/IV y Diploma (automotriz, enfermeria, dental, aged care, community services) + curso de preparacion OBA | institucion | REBRANDING en curso: el nombre legal visible ya es "Menzies College of Nursing & Health" · el sitio NO publica RTO ni CRICOS en ninguna parte (verificar en ASQA antes de vender a internacionales) · puede_vender dice "Todos los programas" pero no hay grados ni idiomas
Langue Onze | redirige | langueonze.com (cae el www y el ?lang=es) | KLF TOULOUSE - LANGUE ONZE | parcial | https://langueonze.com/nos-cours-de-francais/ | ~15 | Solo idiomas · frances A1-C2, adultos y adolescentes | institucion (escuela del grupo Keep Learning French) | el sitio ya opera bajo la marca del grupo KLF, coherente con partner_group · ficha correcta en lo demas
The university of Manchester | si | www.manchester.ac.uk | The University of Manchester | si | https://www.manchester.ac.uk/study/undergraduate/courses/ · /study/masters/courses/ · /study/postgraduate-research/programmes/ | ? | Pregrado, master y doctorado | institucion | catalogo es BUSCADOR dinamico por nivel y año de entrada, no lista plana · puede_vender incluye "Pathway" pero el sitio de la universidad NO menciona INTO: el pathway vive en INTO Manchester, dominio aparte (intostudy.com) · typo "university" en minuscula en la ficha
Manhattan College | si | manhattan.edu | Manhattan University | no | https://manhattan.edu/academics/programs | 300+ | Pregrado, postgrado, certificados, programas de 5 años | institucion | CAMBIO DE NOMBRE: hoy el sitio se llama "Manhattan University"; "Manhattan College" solo sobrevive en la direccion ("Manhattan College Parkway") · ficha desactualizada · ademas el campus esta en Riverdale (Bronx), a ~30 min de midtown: la ciudad "Nueva York" de la ficha puede inducir a error al estudiante
YMCA | redirige | ymca.ca -> ymca.ca/en/ | YMCA Canada · national office of the Canadian YMCA Federation | no | - (no existe pagina de programas) | 0 | ninguno | red / federacion de ONG · NO es institucion educativa | FICHA FANTASMA: ymca.ca dice textualmente que NO ofrece programas ni servicios al publico, solo apoya a las asociaciones locales · no hay cursos de idiomas ni academicos · verificado tambien ymcaquebec.org (el YMCA de Montreal, la ciudad de la ficha): solo gimnasio, campamentos y certificaciones deportivas, SIN escuela de idiomas · category "College Privado" y puede_vender "Idiomas / Todos los programas" no tienen ningun respaldo · candidata a eliminar del catalogo
