institucion,pais,estado,dominio_en_la_ficha,nota
ABC School of English,UK,dominio_muerto,abcschool.co.uk,"abcschool.co.uk es NXDOMAIN: no resuelve, no es caida temporal ni bloqueo. Probadas cinco variantes (abcschoolofenglish.co.uk, .com y .uk, abc-school.co.uk, abcschool.london) y ninguna resuelve. La escuela (63 Neal Street, Covent Garden, abierta en 2002) sigue apareciendo en directorios como English UK London y British Council, pero esos listados estan desactualizados y apuntan al mismo dominio caido. Sin sitio no hay catalogo que extraer."
Acacia Institute,Australia,dominio_muerto,acacia.edu.au,"DNS resuelve (43.250.140.24) pero el servidor rechaza toda conexion en 443 y 80, apex y www, en varios reintentos y con distintos user-agents. Los buscadores si tienen contenido reciente, asi que apunta a geobloqueo fuera de Australia y no a cierre. Verificar a mano desde una IP australiana antes de mandar la extraccion."
ALI,Canada,dominio_muerto,studymontreal.com,"studymontreal.com resuelve a 127.0.0.1 (localhost) tanto contra el DNS local como contra el de Google: alguien apunto el dominio a la nada, no es caida temporal ni bloqueo. Ni 80 ni 443 conectan, con www y sin www. Los buscadores todavia lo indexan con contenido, asi que el cierre parece reciente. La escuela es Academie Linguistique Internationale, centro de Montreal, ingles y frances. No le asigno dominio de reemplazo porque no encontre ninguno vivo: confirmar con el cliente si ALI sigue operando."
Ascent College of technology,Canada,dominio_muerto,ascentcollege.ca,"El dominio resuelve (45.114.246.50) pero no hay sitio: HTTPS falla con certificado caducado y HTTP devuelve la pagina por defecto de cPanel en la raiz y 404 en cualquier ruta, incluida /about-us que Google todavia indexa. O sea que el sitio cayo hace poco, no es un dominio que nunca existio. El MX sigue apuntando a Microsoft 365 (ascentcollege-ca.mail.protection.outlook.com), asi que la institucion probablemente sigue viva: colegio privado de carrera en Laval/Montreal, AEC en IT, IA y ciberseguridad. La ficha ademas lo marca 'College Publico' y es privado. Preguntarle al cliente si cambiaron de sitio antes de darla de baja."
Avila University,UK,dominio_muerto,,"La ficha no traia dominio y NO existe ninguna 'Avila University' en Londres ni en el Reino Unido. La unica institucion con ese nombre es Avila University de Kansas City, Missouri, EEUU (avila.edu), fundada en 1916 — ni el pais ni la ciudad coinciden, asi que no la doy por buena. Posible confusion con la Universidad Catolica de Avila (Espana) o con un programa de estudios en el extranjero que hace escala en Londres. No adivino: la ficha necesita que el cliente diga a que institucion se refiere."
BBSI - Bournemouth Business School International,UK,dominio_muerto,,"La escuela ya no existe: BOURNEMOUTH BUSINESS SCHOOL INTERNATIONAL LIMITED figura DISUELTA en Companies House (numero 02692399) desde el 30 de mayo de 2017. Su antiguo dominio bbsi.co.uk responde 200 pero NO es el colegio: es un dominio parqueado en venta, con formulario de oferta y enlaces patrocinados. Los directorios (British Council, MastersPortal, ISI) siguen listandola y por eso la ficha parece viva. No hay nada que extraer."
Cambridge Education Group,International,sin_catalogo,,"Ficha sin dominio ni categoria. Sitio corporativo B2B, cero programas. Sus divisiones son ONCAMPUS, CEG Digital, iheed y CEG Services; el catalogo de pathways esta en oncampus.global. CATS ya no figura como division suya."
Canberra Institute of Technology CIT,Australia,dominio_muerto,cit.edu.au,"El dominio vive y si es CIT, pero devuelve 403 a TODO acceso automatizado: probado en apex, www y /courses, con tres user-agents distintos, tanto por WebFetch como por curl. Es un WAF anti-bot, no un cierre ni un cambio de dominio. La pasada de extraccion va a fallar igual: hay que sacarlo con navegador o pedirle el catalogo al cliente."
CATS Colleges,International,sin_catalogo,,"Ficha sin dominio. CATS Colleges se rebrandeo a CATS Global Schools: el sitio del grupo lista 11 colegios pero NO publica programas. El catalogo vive en cada colegio: catscambridge.com, catsacademyboston.com. La sede de Londres ya no es CATS, es Guildhouse School; Canterbury es hoy The Worthgate School."
Communicate School,UK,dominio_muerto,communicateschool.co.uk,"200 OK ENGANOSO: communicateschool.co.uk devuelve una pagina de 114 bytes que redirige por JS a /lander, un parking de GoDaddy. El sitio no existe. Communicate School of English (85 Piccadilly, Manchester) fue comprada por Malvern International en 2018 y renombrada Malvern House Manchester; Malvern anuncio la salida del negocio de ingles general para adultos y hoy solo opera Malvern House LONDRES (malvernhouse.com, pathways NCUK y teacher training). No hay sede en Manchester que vender."
Design and Arts College of New Zealand,New Zealand,dominio_muerto,,"Ficha sin dominio. Su sitio historico dac.ac.nz esta en NXDOMAIN (sin registro, comprobado contra el resolver local y contra 8.8.8.8, y WebFetch tambien falla con ENOTFOUND); Google y Bing todavia sirven paginas cacheadas, es lag del indice, no un sitio vivo. Ademas D&A YA NO figura entre los 11 colleges que New Education Group lista hoy (si figuran Yoobee, NZMA, NSIA, NZ School of Tourism, Elite Beauty). Probable absorcion en Yoobee Faculty of Design, pero NO lo confirmo: no extraer catalogo de yoobee.ac.nz para esta ficha sin validar con el cliente."
Dominion English Schools,New Zealand,dominio_muerto,,"Ficha sin dominio. La escuela CERRO definitivamente el 16-10-2020 por el cierre de fronteras del COVID; su dominio dominion.school.nz esta en NXDOMAIN. Ficha para dar de baja, no para extraer."
Gamma College,Australia,dominio_muerto,gamma.edu.au,"Mismo patron que Acacia: DNS resuelve pero el servidor rechaza la conexion en 443 y 80, apex y www, en varios reintentos. Los buscadores tienen contenido reciente, asi que apunta a geobloqueo fuera de Australia y no a cierre. RTO 41477, CRICOS 03580F, campus en Sydney (Ultimo), Brisbane y Melbourne; cocina, hospitalidad, IT, negocios y gestion. Verificar desde IP australiana."
Gedu Globlal Education,International,sin_catalogo,gedu.global,"El dominio vive y es del grupo, pero el sitio tiene solo 5 paginas (about, portafolio, news, contacto) y ningun programa. El catalogo esta en las marcas del grupo: globalbanking.ac.uk (GBS), English Path, MLA College, APAC."
George Brown College,Canada,dominio_muerto,georgebrown.ca,"No es NXDOMAIN: georgebrown.ca resuelve (198.96.86.176) y la institucion existe, pero el sitio devuelve 403 a TODO acceso automatizado (WAF/bot protection) incluso con user-agent de navegador. Sin navegador real la extraccion no va a poder. La ciudad de la ficha esta mal escrita ('Totonto')."
