# Lote 12 · 2026-08-07

Victoria University (Sydney) | si | www.vu.edu.au | Victoria University (CRICOS 00124K Melbourne · 02475D Sydney y Brisbane) · el campus se llama "VU Sydney" | parcial | https://www.vu.edu.au/vu-sydney/courses-at-vu-sydney | ? (3 niveles; se ven ~7 especializaciones de master + Bachelor of Early Childhood Education) | Higher Education Diploma, Pregrado, Postgrado | institucion | La ficha apunta a un PATH de campus dentro del dominio de la universidad. La oferta de VU Sydney es un SUBCONJUNTO de Victoria University: extraer de vu.edu.au traeria el catalogo de Melbourne, que no es lo que la ficha promete. Ficha sin category, sin partner_group y con puede_vender VACIO.
La Trobe University Sydney | bloquea | www.latrobe.edu.au | ? | ? | ? | ? | ? | institucion | Cloudflare challenge confirmado (HTTP 403 + header `Cf-Mitigated: challenge` + body "Just a moment...") incluso con UA de Chrome. NO es un sitio muerto: requiere navegador real. Ademas es DUPLICADO de dominio con la ficha "La Trobe University" de este mismo lote. El campus de Sydney lo opera Navitas y no vive en la raiz de latrobe.edu.au: el dominio de esta ficha es el de la universidad entera, no el del campus. partner_group=Navitas sugiere que la ficha deberia apuntar al sitio del partner.
Liverpool John Moores University | si | www.ljmuisc.com | LJMU International Study Centre ("Maintained by Study Group") | no | https://www.ljmuisc.com/programmes | 4 | International Foundation Year, International Year One, Pre-Masters, pre-cursos de ingles | agencia | El dominio NO es el de la universidad (ljmu.ac.uk) sino el centro pathway operado por Study Group. Coherente con puede_vender (solo Foundation/Year 1/Pre-master), pero la ficha se llama como la universidad: quien extraiga de aqui obtendra 4 programas puente, no el catalogo de LJMU. Renombrar la ficha a "LJMU International Study Centre" para no confundir al asesor.
Nacel Espana | si | www.nacel.es | Nacel Espana, S.L. — "agencia internacional de Viajes Linguisticos" | si | https://www.nacel.es/es/#nuestros-programas | ~6 categorias, cada una con 3-10 destinos | Ano academico en el extranjero, campamentos de verano, cursos de idiomas 16+, cursos de verano para jovenes, inmersion en familia, viajes escolares | agencia | NO ES UNA INSTITUCION EDUCATIVA: es una agencia de viajes linguisticos, es decir el mismo tipo de negocio que el cliente. Lo que vende son programas alojados en terceros (colegios y escuelas de otros paises), no programas propios: el "catalogo" que se extraiga seran paquetes, no titulaciones. `puede_vender` repite "High School" dos veces (ruido en el dato). Los programas se navegan por anclas del home, no hay listado unico enumerable.
Queensland Academy of Technology (QAT) | si | qat.qld.edu.au (www redirige al apex) | Queensland Academy of Technology (QAT), nombre comercial de Australia Moreton Education Group Pty Ltd (ABN 68 105823309) | si | https://qat.qld.edu.au/international/courses/ | 22 | Certificate III (2), Certificate IV (4), Diploma (5), Advanced Diploma (2), Graduate Diploma (1), ELICOS/IELTS (2), cursos cortos (7) | institucion | Lista estatica y enumerable, la mejor del lote. Pero la ficha tiene `category`=null, `partner_group`=null y `puede_vender` VACIO: hoy no se puede vender nada de una escuela con 22 cursos listos para extraer. Un curso corto (HLTAID012) es solo domestico. Opera bajo un grupo (Australia Moreton Education Group) aunque la marca es propia.
Georgian English | si | www.georgiancollege.ca | Georgian College | no | https://www.georgiancollege.ca/academics/programs/ | 153 ("Showing 153 of 153 programs") | Ontario College Certificate, Diploma, Advanced Diploma, Honours Bachelor Degree (4), Graduate Certificate, aprendizajes, micro-credenciales | institucion | FICHA FANTASMA: "Georgian English" no existe como marca ni como programa en el sitio. El dominio es el del Georgian College completo (college publico de Ontario). La ficha lo clasifica "Instituto Idiomas" y solo habilita "Idiomas" (duplicado), pero lo unico de idiomas que aparece es "General Arts and Science - English for Academic Purposes" y un pathway GAAS-EAP: 1 programa dentro de 153. Ademas la URL de la ficha apunta a /international/admissions/, que no es el catalogo. El listado es un buscador con filtros (dinamico), no una lista plana.
Oxford Royale | si | www.oxford-royale.com | Oxford Royale Academy (opera como Oxford Programs Limited en UK y OR Education Inc. en USA) | parcial | https://www.oxford-royale.com/courses | 53 ("Showing 53 of 53 courses") | Cursos de verano / enriquecimiento academico para edades 12-15, 13-15, 16-18 y 19-23. Sin credito academico | agencia | El propio sitio declara que "does not operate under the aegis of the University of Oxford or those other institutions" y que solo CONTRATA las instalaciones: es un proveedor de programas, no una institucion acreditada. Las sedes incluyen Oxford, Cambridge, Londres, Yale y Nueva York (y MIT/Penn en 2026), asi que el pais de la ficha ("UK", ciudad "Oxford") describe solo una parte. `puede_vender` INCONSISTENTE: dice "High School" y "Todos los programas" y no hay ni High School ni titulaciones, solo verano no acreditado.
Baylor University | si | isc.baylor.edu | Baylor University International Study Center | parcial | no existe (isc.baylor.edu/programs da 404) | 0 | — | institucion | FICHA MUERTA COMERCIALMENTE. El dominio responde 200 pero sirve UNA sola pagina de aviso: "Our contract with the university is in its final year... the ISC will be operated by Baylor starting in January 2024. Baylor University ISC's last Study Group student intake was August 2023." No hay ningun catalogo que extraer. `partner_group`="Study Group" ya NO aplica desde ene-2024, y `puede_vender` promete "International Year, Master, Undergraduate Degree" que por este canal ya no existen. Reapuntar a admissions.web.baylor.edu/admission/international/international-gateway-program (unico link util de la pagina) o dar de baja.
TAFE Queensland | si | tafeqld.edu.au (www redirige al apex) | TAFE Queensland (RTO 0275 · PRV13003) | si | https://tafeqld.edu.au/courses | 400+ | Certificados (I a IV), Diploma, Advanced Diploma, Bachelor (higher education), cursos cortos, micro-credenciales, programas de ingles | red | Es una RED de 60+ sedes agrupadas en 6 regiones (Greater Brisbane, Gold Coast, Sunshine Coast, Wide Bay Burnett, North Queensland, Darling Downs & South West), no un campus unico: la extraccion tiene que manejar la dimension "location" o generara 400 programas sin lugar. Catalogo servido por buscador dinamico (/search-results), no enumerable en HTML plano. Ficha sin category, sin partner_group y con `puede_vender` VACIO pese a 400+ cursos.
QS | si | admissions.qs.com | QS Student Recruitment (plataforma construida sobre Appian Corporation) | parcial | no aplica | 0 | — | agencia | NO ES UNA INSTITUCION Y NO TIENE CATALOGO. La URL de la ficha es la pantalla de LOGIN de un SaaS de admisiones de QS (Quacquarelli Symonds), con usuario/contrasena y SSO. Nada extraible sin credenciales. La ficha es coherente consigo misma (category="Proveedor", puede_vender vacio) pero no pinta nada en un catalogo de instituciones: candidata a mover a otra tabla o dar de baja.
Royal Melbourne Institute of Technology (RMIT) | si | www.rmit.edu.au | RMIT University | si | https://www.rmit.edu.au/study-with-us/levels-of-study | ? (cientos; ~20+ areas de estudio) | Pregrado, Postgrado, Vocacional (TAFE), pre-universitario, online | institucion | CATALOGO NO ENUMERABLE: el home es un buscador ("Search courses") y la navegacion es por area (/study-with-us/engineering, /design, ...), no hay lista estatica. La extraccion posterior necesita recorrer nivel x area. Ficha sin category, sin partner_group y con `puede_vender` VACIO: una de las universidades mas grandes de Australia hoy no es vendible segun el dato.
