# Lote 30 · 16 instituciones · 2026-08-07 · DNS verificado contra 8.8.8.8 · reintentos con UA de Chrome · TLS inspeccionado con openssl · HTML crudo revisado por spam inyectado (0 hallazgos)
Flinders University | redirige | http://www.flinders.edu.au -> 301 a https://www.flinders.edu.au | Flinders University (Adelaide, South Australia) | si | https://www.flinders.edu.au/study/courses | ? (cientos) | Bachelor, Master, PhD/HDR, cursos cortos, online, pathways | institucion | la ficha apunta a http:// y el sitio canoniza https · tipo_adivinado dice "curso_corto" y es una universidad completa · ficha sin category y con puede_vender VACIO
Kiwi English Academy | si | kiwienglish.co.nz | Kiwi English Academy (Newmarket, Auckland · fundada 1991 · NZQA Category 1) | si | https://www.kiwienglish.co.nz/courses/ | 3 | Idiomas: General English 18+, Junior 14-17, Online Academy 13+ | institucion | oferta muy corta (3 programas, sin IELTS ni business pese a lo que suele asumirse de una escuela de idiomas) · ficha con puede_vender VACIO pese a category "Instituto Idiomas" · HTML crudo limpio, sin spam inyectado
Kaplan International English (Australia) | redirige | www.kbs.edu.au/courses/kaplan-english-australia -> 301 a www.kbs.edu.au/courses/english-for-academic-purposes | Kaplan Business School Pty Ltd (ABN 86 098 181 947) | no | https://www.kbs.edu.au/courses | ~20 | EAP (pathway de ingles academico) + Bachelor, Grad Cert, Grad Dip, Master | institucion | FANTASMA: ni "Kaplan International English" ni "Kaplan English" aparecen en el sitio · la URL de la ficha es un 301 al curso EAP de Kaplan BUSINESS School, que es otra entidad (escuela de negocios, no instituto de idiomas) · vender "Kaplan International English Australia" desde este dominio entrega algo distinto a lo prometido
MELBOURNE POLYTECHNIC | si | melbournepolytechnic.edu.au | Melbourne Polytechnic (TAFE publico de Victoria) | si | https://www.melbournepolytechnic.edu.au/search/ | ? (20+ areas de estudio) | Certificados, Diplomas, Adv Diplomas, aprendizajes, BACHELOR y MASTER, cursos cortos | institucion | puede_vender CONTRADICE lo que se ve: la ficha dice "Vocacionales (Cert, Dip, Adv Dip)" pero el sitio ofrece explicitamente "Higher Education Courses - Bachelors and Masters" · catalogo detras de BUSCADOR dinamico (/search/), no lista plana: la extraccion necesita otro tratamiento
Think: Colleges | si | think.edu.au | Think: Colleges Pty Ltd (ABN 93 050 049 299) · marca "Think Education" · TEQSA PRV12058 · RTO 0269 · CRICOS 00246M | parcial | https://www.think.edu.au/courses | 2 | HLT54121 Diploma of Nursing + Bachelor of Health Science (Clinical Myotherapy) | red (grupo paraguas, hoy dentro de Torrens Global Education) | CATALOGO COLAPSADO: solo quedan 2 cursos en todo el sitio (verificado en HTML crudo: unicos href="/courses/...") · las marcas historicas del grupo (Billy Blue, APM College, CATC, William Blue) ya no figuran; solo se citan SSNT y ACNT como herencia · el enlace de estudiantes actuales apunta a studenthub.torrens.edu.au, o sea la operacion academica migro a Torrens University · ficha sin category y puede_vender VACIO
Study in Valencia | redirige | www.studyinvalencia.es -> studyinvalencia.es | Study in Valencia (SIV) | si | https://studyinvalencia.es/our-programs/ | ~12 | Ciclos Formativos (medio y superior), certificados de profesionalidad, pasantias, cursos ejecutivos | agencia | NO ES INSTITUCION: es un intermediario/consorcio de colocacion · la docencia la imparten centros socios (muestra logos de Universitat de Valencia y del Ministerio de Educacion como partners, no como propios) · ademas ofrece visado y alojamiento, servicios de agencia · listarla como institucion propia es enganoso
Cyprus West University | redirige | cwu.edu.tr -> 301 a www.cwu.edu.tr | Cyprus West University / Kibris Bati Universitesi (Famagusta) | si | https://www.cwu.edu.tr/undergraduate-degree-programs/ y /institute-of-graduate-studies/ | ? (3 facultades) | Bachelor (BSc), MBA, English Preparatory School | institucion | GEOGRAFIA/JURISDICCION MAL ETIQUETADA: la ficha dice pais "Chipre" pero la universidad esta en la Republica Turca del Norte de Chipre, acreditada por YOK/YODAK y con TLD .tr · NO es la Republica de Chipre (UE), y la convalidacion del titulo no es equivalente · el estudiante colombiano debe saberlo antes de matricularse
Skills Australia | si | skillsaustralia.edu.au | Skills Australia Institute (SAI) · RTO 52010 · CRICOS 03548F · ABN 78 126 274 682 | parcial | https://www.skillsaustralia.edu.au/courses/ | ~11 | Cert III, Cert IV, Diploma y GRADUATE Diploma (Business, Early Childhood, Automotive, Construccion) | institucion | el nombre real es "Skills Australia Institute", la ficha lo trunca a "Skills Australia" · campus Cannington/Perth WA y Adelaide SA coinciden con la ficha · ofrece Graduate Diploma, que excede la etiqueta "Vocacionales (Cert, Dip, Adv Dip)" del puede_vender
Langports | si | langports.com | Langports (entidad legal Langports Gold Coast Pty Ltd) | si | https://www.langports.com/english-courses/ | ~16 | Idiomas: UFO General English, IELTS, TOEIC+, Cambridge FCE/CAE/CPE, EAP, junior holiday, high school prep, English+Internship/Volunteering/Demipair | institucion | CAMPUS DESACTUALIZADO: la ficha dice "Brisbane, Sydney, Gold coast" y el sitio solo opera BRISBANE y GOLD COAST · el campus de Sydney ya no existe como sede operativa (solo sobrevive como opcion residual en un formulario de cotizacion) · si se vende Sydney, no hay donde entregarlo
Sainte Victoire International School | redirige | www.schoolsaintevictoire.com -> 301 a svis.fr | Sainte Victoire International School (SVIS) · Domaine Chateau l'Arc, Fuveau 13710, Aix-en-Provence | si | https://www.svis.fr/en/academics/educational-approach | 3 ciclos | Primaria (6-11), Middle School -> IGCSE, High School -> IB | institucion | DOBLE PROBLEMA: (a) el dominio de la ficha esta OBSOLETO, es un 301 al dominio real svis.fr · (b) "ERMITAGE EDUCATION GROUP", el partner_group de la ficha, NO aparece ni una vez en el HTML crudo de la home ni de la pagina institucional (verificado con grep) · la ciudad tampoco esta en la ficha (es Fuveau / Aix-en-Provence)
Hawthorn Melbourne | no | hawthornenglish.com (DNS OK: 210.10.226.233, puerto 443 abierto, puerto 80 CERRADO) | ? no verificable | ? | ? | ? | ? | ? | MUERTO CON DOS SENALES INDEPENDIENTES: (a) el servidor devuelve 503 "No server is available to handle this request" (HAProxy sin backend); (b) el certificado TLS esta EXPIRADO desde el 02-sep-2022 (casi 4 anos) y ademas esta emitido para CN=*.acap.edu.au, o sea infraestructura de ACAP/Navitas, no de hawthornenglish.com · la marca no opera en este dominio · ficha INVENDIBLE, hay que darla de baja o reasignarle dominio
