institucion,accion,dominio_real,ruta_catalogo,nombre_real,ciudad_real,fusionar_con,evidencia
Whitecliffe University of Applied Sciences,corregir_dominio,whitecliffe.de,/en/programs/,Whitecliffe University of Applied Sciences Berlin,,,"whitecliffe.de responde 200 y titula 'Home - Whitecliffe University of Applied Sciences'; el JSON-LD del propio sitio se nombra 'Whitecliffe University of Applied Sciences Berlin' y su sameAs sigue apuntando a facebook.com/berlininternationaluniversityoAS, o sea es la antigua Berlin International University of Applied Sciences renombrada tras la compra por Whitecliffe. /en/programs/ da 200 con la oferta en ingles de arquitectura, diseno de interiores, diseno grafico y negocios, MBA incluido. Verifico al auditor y coincide: oxfordinternational.com es de Oxford International Education Group y ahi Whitecliffe solo figura como partner, asi que ese dominio le corresponde a la ficha 'Oxford International'. La ciudad de la ficha (Berlin, Alemania) ya esta bien; lo que sigue mal es pais=UK, que deberia ser Alemania, y el CSV no tiene columna para corregirlo."
California State University (CSU) San Marcos,fusionar,catalog.csusm.edu,,,,California State University San Marcos,"Misma institucion escrita dos veces dentro de este mismo lote: los dos registros traen pais=USA, ciudad=California, categoria=Universidad, el mismo puede_vender y el mismo dominio catalog.csusm.edu. No es el caso universidad+pathway: es una sola universidad publica en San Marcos, CA. Sobrevive 'California State University San Marcos' porque es el nombre tal cual lo publica la institucion: catalog.csusm.edu titula literalmente 'California State University San Marcos', sin el parentesis (CSU), que es un anadido de captura de datos."
California State University San Marcos,sin_cambio,,/content.php?catoid=11&navoid=1976,,,,"Ficha que SOBREVIVE la fusion con 'California State University (CSU) San Marcos' del mismo lote. Verifico al auditor y se confirma: www.csusm.edu/academics/ responde 200 pero su cuerpo es solo un <meta http-equiv=refresh> a catalog.csusm.edu/content.php?catoid=11&navoid=1976, o sea el catalogo (Acalog) no vive en csusm.edu sino en el subdominio, y por eso dejo el dominio de la ficha como esta y guardo la ruta de entrada al listado. Confirmo tambien el bloqueo: catalog.csusm.edu/content.php devuelve 202 (challenge JS de AWS WAF) mientras la portada y /index.php dan 200 — la extraccion necesita navegador headless, no un fetcher plano."
FIU - Florida International University,sin_cambio,,,,,,"Dominio correcto, no hay nada que cambiar: fiu.edu responde 200 (resuelve a www.fiu.edu) y el catalogo formal catalog.fiu.edu tambien 200. Esta es la ficha que SOBREVIVE la fusion con 'Florida International University' (resuelta en el lote 01) por dos criterios verificables: esta si trae pais y ciudad, y el catalogo del cliente ya usa el patron 'SIGLA - Nombre' en otras fichas (ej. 'FAU - Florida Atlantic University'). No marco la fusion en sentido contrario a proposito: si las dos fichas se apuntan entre si se desactivan mutuamente y la universidad desaparece. Contradiccion que no corrijo: puede_vender=[posgrado] mientras el catalogo publica pregrado y posgrado por igual."
LIUBrooklyn,corregir_dominio,liu.edu,/brooklyn/academics,LIU Brooklyn,,,"NO es duplicado de 'LIUPost' aunque compartan host: son dos campus distintos de Long Island University, asi que los separo por ruta y no los fusiono. www.liu.edu/brooklyn responde 200 y titula 'Brooklyn Campus | Long Island University'; /brooklyn/academics da 200 con su propio listado de UNDERGRADUATE PROGRAMS y GRADUATE PROGRAMS, e incluye el 'Pharm.D. Professional Program', que es de Brooklyn y no aparece en el listado de Post. LIU unifico todo bajo liu.edu: no hay dominio propio de campus, por eso la ruta es imprescindible — sin ella la extraccion le carga el sitio entero a los dos campus. Contradiccion que no corrijo: puede_vender=[todos] incluye idiomas y en /brooklyn/academics no se ve oferta de idiomas."
LIUPost,corregir_dominio,liu.edu,/post/academics,LIU Post,"Brookville, Long Island, NY",,"Mismo caso que LIUBrooklyn y misma decision: comparten host pero son campus distintos, se separan por ruta, no se fusionan. www.liu.edu/post responde 200 y titula 'Post Campus | Long Island University'; /post/academics da 200 con su propio listado de programas de pregrado y posgrado, con oferta que no esta en Brooklyn (p.ej. School Counselor). El campus esta en Brookville, Long Island, NY; la ficha decia solo 'Long Island'. Sin la ruta de campus, la proxima auditoria vuelve a marcar las dos fichas como duplicadas y la extraccion mezcla los dos catalogos."
Nord Anglia Education,desactivar,,,,,,"No es una institucion educativa sino el holding, verificado en el propio sitio: nordangliaeducation.com responde 200, titula 'Nord Anglia Education | International Day & Boarding Schools' y el pie de pagina da la sede en 4th Floor, Nova South, 160 Victoria Street, London SW1E 5LB, Reino Unido, tel +44 020 7131 0000 — no USA como dice la ficha. Lo unico que publica es un directorio 'Find a school' de colegios miembros por region, cada uno con admisiones propias; la ensenanza es K-12 (Early Years, GCSE, IB, A Levels), no hay pregrado ni posgrado ni catalogo de programas que extraer. La ficha ademas llego sin dominio, sin ciudad, sin categoria y sin puede_vender. Desactivacion REVERSIBLE y sin prueba de cierre: la empresa esta viva, lo que no existe es la institucion; si el cliente quiere vender esta red hay que fichar los colegios miembros uno por uno."
"Nova Southeastern
University’s Barry and Judy Silverman College of Pharmacy.",corregir_dominio,pharmacy.nova.edu,,,"Fort Lauderdale/Davie, FL",,"Confirmo el diagnostico del auditor con peticion propia: isi-education.com responde 200 y titula 'ISI Japanese Language School [Official]', con JSON-LD que describe escuelas de japones en Tokio, Osaka, Kioto y Nagano — cero relacion con una facultad de farmacia en Florida. El sitio real de esta ficha es pharmacy.nova.edu (200), que titula 'College of Pharmacy | Nova Southeastern University' y se nombra literalmente 'NSU's Barry and Judy Silverman College of Pharmacy' (el nombre viene del donativo de Barry y Judy Silverman), con campus en Fort Lauderdale/Davie y San Juan, Puerto Rico. Publica Pharm.D., Pharm.D. Advanced Standing, Ph.D. in Pharmaceutical Sciences y M.S. Es subdominio propio, no la raiz nova.edu, asi que no comparte host con la ficha 'Nova Southeastern University' y no hay riesgo de mezclar los dos catalogos. Contradiccion que no corrijo: puede_vender=[idiomas] en una facultad de farmacia; es probablemente el error que engancho la escuela de japones."
Southern Illinois Universiy,corregir_dominio,siu.edu,,Southern Illinois University,"Carbondale, Illinois",,"La ficha nombra la universidad, no un centro de pathway — y ademas el centro no existe: el microsite www.siu.intostudy.com declara en su propio payload programRoutes:['Direct Entry'], o sea INTO solo canaliza entrada directa a los titulos de SIU y no vende rutas de preparacion propias (mismo caso que el txst.intostudy.com del instructivo, pero aqui responde 200 en vez de 404). Su sitemap.xml lo confirma: las unicas paginas de oferta son /summary/directentry-undergraduate y /summary/directentry-postgraduate. El sitio de la universidad es siu.edu (200), og:title 'Southern Illinois University' y descripcion propia 'in Carbondale, Illinois'; el catalogo formal esta en catalog.siu.edu (200). Corrijo de paso la errata del nombre ('Universiy') y la ciudad, que traia el estado en vez del municipio."
The University of Arizona,fusionar,arizona.edu,,,,University of Arizona,"Misma universidad en dos fichas (esta y 'University of Arizona' del lote 07): arizona.edu es la universidad de Tucson, AZ. Confirmo por mi cuenta el falso muerto que vio el auditor: el resolver local no resuelve el dominio, pero nslookup contra 8.8.8.8 devuelve A 23.185.0.4 mas IPv6 2620:12a:8000::4 y 2620:12a:8001::4, y catalog.arizona.edu es un CNAME a prod-public-catalog.coursedog.com (la plataforma Coursedog). NO desactivar por timeout de DNS. Direccion de la fusion: sobrevive 'University of Arizona' por el mismo criterio con que se resolvio FIU en el lote 01 — es la ficha mas completa: trae ciudad real (Tucson) frente a 'Arizona', que es el estado, y su puede_vender lista tres niveles (pregrado, posgrado, idiomas) frente a dos. Aviso al agente del lote 07: la fusion tiene que apuntar a su ficha, no a esta, o las dos se desactivan. Para extraer: catalog.arizona.edu y www.arizona.edu/degree-search se pintan por JavaScript y los programas online van aparte en online.arizona.edu/programs/all."
