# Lote 40 · 2026-08-07 · (lote final · sólo 10 fichas, no 16)
# institucion_en_ficha | dominio_responde | dominio_real | nombre_real_en_el_sitio | nombre_coincide | url_de_programas | cantidad_aprox | niveles | tipo | alerta

ICM - International College of Manitoba | si (pero es el dominio EQUIVOCADO) | ficha: www.umanitoba.ca -> https://www.umanitoba.ca/ (301 http->https). Dominio real del college: www.icmanitoba.ca | En el dominio de la ficha: "University of Manitoba". En icmanitoba.ca: "International College of Manitoba (ICM)" | no | ficha lleva a https://www.umanitoba.ca/explore/programs-of-study/ (250+ programas de la UNIVERSIDAD). El correcto es https://www.icmanitoba.ca/programs/ | 8 en ICM (1 UTP Stage I + 7 International Year One) vs 250+ en umanitoba.ca | ICM: Foundation (UTP Stage I) e International Year One (UTP Stage II) en Agricultural & Food Sciences, Arts, Business, Engineering, Environment, Recreation Management y Science | institucion (college pathway de Navitas alojado en el campus de U of M) | CRITICO / FANTASMA: el `sitio` apunta a la UNIVERSIDAD paraguas, no al college. Las palabras "ICM", "International College of Manitoba" y "Navitas" NO aparecen en umanitoba.ca. Si se extrae de este dominio se cargan 250+ programas de grado de la universidad como si fueran pathways vendibles de ICM. Corregir `sitio` a https://www.icmanitoba.ca/. Ademas `ciudad: "Manitoba"` es la PROVINCIA: la ciudad real es Winnipeg (406 University Crescent). `partner_group: Navitas` si se confirma, pero solo en el dominio correcto.

IMG Academy | si | www.imgacademy.com (la ficha arrastra `?rep=9681`, parametro de afiliado/representante) | IMG Academy | si | https://www.imgacademy.com/sport-camps | 12+ deportes en camps; ademas boarding school y post-graduate | Boarding school (grados 6-12), Post-Graduate, campamentos deportivos por deporte, programas de adultos, coaching online (IMG Academy+), recruiting NCSA | institucion (boarding school deportivo + operador de campamentos) | `sitio` contiene un query string de tracking de afiliado (`?rep=9681`) que hay que limpiar antes de crawlear — no es el dominio canonico. `ciudad: "Florida"` es el ESTADO: la ciudad real es Bradenton, FL. `category: Camps` se queda corto: tambien es colegio internado con ano academico completo, coherente con el `puede_vender: "Full Time"`. Sin avisos de cierre.

The University of Western Australia (UWA) | redirige | www.uwa.edu.au -> https://www.uwa.edu.au/home (2 saltos, http->https + /home) | The University of Western Australia | si | https://www.uwa.edu.au/study/explore-courses | ? (cientos) | Pregrado, Postgrado, Higher Degree by Research (doctorados), cursos cortos, Assured Pathways | institucion (universidad publica, Group of Eight) | DUPLICADO CROSS-LOTE: la misma institucion y el mismo dominio estan en `lote_38.json` como `university-of-western-australia` — y las dos fichas se CONTRADICEN. lote_38: ciudad "Perth", category "Universidad", partner_group "INTO", puede_vender ["Pathway"]. lote_40 (esta): ciudad null, category null, partner_group null, puede_vender [] y `tipo_adivinado: curso_corto` para una universidad de investigacion. Deduplicar y quedarse con la de lote_38. Ciudad real: Perth, WA. El catalogo es un buscador dinamico con filtros, no una lista estatica: la extraccion necesita otro tratamiento. Nota: "UWA India - coming soon" en el sitio (expansion, no cierre).

In Florence Academy | si | www.inflorenceacademy.it | InFlorence Academy — "the first State-recognized Italian language school in Florence", operando desde 1948 | si (la grafia real es "InFlorence", una sola palabra) | https://www.inflorenceacademy.it/courses-list | ~11 | Solo Idiomas (italiano): Standard 20, Intensive 25, ano/semestre, lecciones individuales, italiano de supervivencia, preparacion examen universitario, refresher para docentes, italiano de negocios, programa Marco Polo/Turandot, preparacion DITALS y CELI, cursos online | institucion | `puede_vender` trae "Idiomas" DUPLICADO (["Idiomas","Idiomas"]). Revisado el HTML crudo (261 KB) con UA de navegador: sin spam inyectado ni contenido ajeno. El certificado del host presenta CN=autodiscover.inflorenceacademy.it (hosting compartido) pero el sitio responde 200 y el TLS es valido. Coherente con `category: Instituto Idiomas`. Ningun curso marcado como no disponible.

Holmes Institute | redirige | www.holmes.edu.au -> https://holmes.edu.au/ (301 al apex; sitio nuevo servido por Webflow, CNAME a cdn.webflow.com) | Holmes Institute Pty Ltd — CRICOS 02639M (VIC) / 02767C (NSW) / 02727M (QLD); parte de Holmes Education Group | si | https://www.holmes.edu.au/pages/schools-and-faculties | ~15 | Pregrado (Bachelor of Business, Professional Accounting, Fashion Business, Information Systems, Aviation) y Postgrado (Graduate Diploma, MBA, MBA Professional, Master of Professional Accounting, Master of Information Systems, Master of Teaching) en 7 facultades | institucion (proveedor de educacion superior) | CONTRADICCION DE `puede_vender`: la ficha promete "Vocacionales (Cert, Dip, Adv Dip)" y "Cursos Vocacionales", pero el sitio actual NO lista ninguna escuela VET — solo higher education; los unicos "certificates" son de Fashion y son de nivel universitario. Si se vende VET de Holmes hoy, no hay catalogo que lo respalde. `partner_group: OHC` es real (OHC English es marca hermana del Holmes Education Group) PERO vive en OTRO dominio (ohcenglish.com): el ELICOS no se puede extraer ni vender desde holmes.edu.au. `category: College Privado` subestima: otorga bachelors y masters. 4 campus (Melbourne, Sydney, Brisbane, Gold Coast) — la ficha solo registra Melbourne. Ojo: conviven dos estructuras de URL (legacy `/index.php?ID=` y `/pages/...`) y `/courses` da 404 — usar `/pages/schools-and-faculties`.

