institucion,estado,dominio_real,nombre_real,url_programas,cantidad_aprox,niveles_vistos,nota
Victoria University of Wellington,ok,,Te Herenga Waka - Victoria University of Wellington,https://www.wgtn.ac.nz/study/programmes-courses,150,pregrado;posgrado;doctorado;foundation;certificado;diploma,"El sitio declara 100+ materias de grado, 80+ de posgrado y casi 900 cursos individuales: si la extraccion trae menos de 100 titulaciones se quedo en la portada."
Whangaparaoa College,dominio_nuevo,wgpcollege.schoolpoint.co.nz,Whangaparaoa College,https://wgpcollege.schoolpoint.co.nz/courses/learning_areas,,high_school (anos 7-13; NCEA 1-3);internacional,"El dominio de la ficha vive pero solo lista areas curriculares; el catalogo real esta en el subdominio SchoolPoint, protegido por Cloudflare y renderizado en JS - no se pudo contar y la extraccion sin navegador va a fallar ahi."
Wintec,ok,,Wintec - Waikato Institute of Technology,https://www.wintec.ac.nz/study-at-wintec,110,vocacional;pregrado;posgrado;foundation;certificado;diploma,"La ficha no trae ciudad: es Hamilton, Waikato. El sitio declara 110+ cursos y niveles 1-9."
Yoobee School of Design,ok,,Yoobee College of Creative Innovation,https://www.yoobee.ac.nz/courses,28,certificado;diploma;pregrado;posgrado;cursos cortos,"Rebrand de nombre (School of Design -> College of Creative Innovation). Los campus reales son Auckland, Wellington, Christchurch y online: Rotorua, que aparece en la ficha, ya no existe."
SAE Netherlands B.V.,dominio_nuevo,sae.edu,SAE Institute Amsterdam,https://www.sae.edu/nld/courses/,15,certificado;diploma;pregrado;posgrado,"La ficha no traia dominio. El campus holandes no tiene dominio propio: vive en el subdirectorio /nld/ del sitio global sae.edu. Los titulos de grado los otorga University of Hertfordshire."
University of Applied Sciences Europe,ok,,University of Applied Sciences Europe (UE Amsterdam),https://www.ue-amsterdam.com/programs,3,pregrado;posgrado;cursos cortos,"Solo 3 programas propios en la sede de Amsterdam (1 bachelor, 1 master, short courses). Si el cliente esperaba el catalogo completo de UE, ese esta en las sedes alemanas, no aqui."
Warsaw University of Business,dominio_nuevo,moderna.edu.pl,Warszawska Uczelnia Ekonomiczna,https://moderna.edu.pl/pl/wubp/,20,pregrado;posgrado;MBA,"wwsb.edu.pl hace 301 a moderna.edu.pl. La entidad paso por dos rebrands (Warszawska Uczelnia Biznesu i Psychologii 'Moderna' y desde 09-2025 Warszawska Uczelnia Ekonomiczna). Ojo: la ficha dice puede_vender=idiomas y esta institucion no vende cursos de idiomas, vende carreras en polaco."
CIAL Centro de Linguas,ok,,CIAL - Centro de Linguas,https://cial.pt/cursos/,15,idiomas,"Coherente con la ficha. Tiene dos sedes: Lisboa y Faro."
Aspasia,dominio_nuevo,grupoaspasia.com,Grupo Aspasia,https://grupoaspasia.com/cursos-en/valladolid/,100+,vocacional;certificados de profesionalidad;cursos subvencionados,"La ficha no traia dominio. Bandera roja: la ficha dice puede_vender=posgrado y Grupo Aspasia NO tiene posgrado - es formacion para el empleo subvencionada (SEPE/LANBIDE) y FP para residentes en Espana. Catalogo rotativo por convocatoria, no estable."
CSSS - Castelldefels School of Social Sciences,ok,,C3S Business School,https://www.csss.es/programs/,20,pregrado;posgrado;MBA;diploma;doctorado,"Rebrand de nombre conservando el dominio: Castelldefels School of Social Sciences -> C3S Business School. Ya no esta en Castelldefels sino en Barcelona ciudad, y tiene sedes en Dubai y Londres."
"Centro de Enseñanza Universitaria SEK S.A - Universidad Camilo Jose Cela",ok,,Universidad Camilo Jose Cela,https://www.ucjc.edu/oferta-academica/,120,pregrado;posgrado;doctorado;vocacional (FP superior),"El nombre de la ficha mezcla la razon social (Centro de Ensenanza Universitaria SEK S.A.) con la marca; el sitio solo se presenta como UCJC. La ficha dice puede_vender=posgrado pero el catalogo es mucho mas amplio."
Deusto,dominio_nuevo,deusto.es,Universidad de Deusto,https://www.deusto.es/es/inicio/estudia/estudios,140,pregrado;posgrado;doctorado;idiomas;executive;summer school,"CRITICO para la pasada de extraccion: el WAF de Akamai devuelve 403 a cualquier fetcher sin cabeceras completas de navegador (User-Agent + Sec-Fetch-* + Upgrade-Insecure-Requests). Con esas cabeceras responde 200. El sitio esta perfectamente vivo. Campus Bilbao y San Sebastian, sedes Vitoria y Madrid; ~41 grados y dobles grados mas el bloque de posgrado."
Dmad,ok,,DMAD - Escuela de Diseno de Interiores y Arquitectura,https://www.dmad.es/masters-posgrados/,30,posgrado;vocacional (FP grado superior);cursos,"La ficha dice pregrado y no hay grados universitarios: solo FP de grado superior, masteres propios y masteres titulados via Nebrija, UPSA y Universita Marconi."
ELISAVA,ok,,Elisava Facultad de Diseno e Ingenieria de Barcelona,https://www.elisava.net/es/estudios,240,pregrado;posgrado;doctorado;summer school,"Catalogo grande y disperso: el sitemap de masteres lista 204 URLs y el de summer school 45. Si la extraccion trae menos de 100 se quedo corta. Solo 2 grados. Tiene tambien campus en Madrid."
ESIC Business & Marketing School,dominio_nuevo,esic.edu,ESIC University / ESIC Business & Marketing School,https://www.esic.edu/oferta-academica,126,pregrado;posgrado;MBA;doctorado;vocacional (FP superior);executive,"La ficha no traia dominio. DUPLICADO: apunta al mismo sitio y al mismo catalogo que la ficha 'ESIC Universidad' de este mismo lote - son la misma entidad con dos marcas. Extraer una sola vez. El catalogo declara literalmente 126 programas."
ESIC Universidad,dominio_nuevo,esic.edu,ESIC University,https://www.esic.edu/oferta-academica,126,pregrado;posgrado;MBA;doctorado;vocacional (FP superior);executive,"La ficha no traia dominio. DUPLICADO de 'ESIC Business & Marketing School' en este mismo lote: mismo dominio, mismo catalogo de 126 programas. 9 ciudades en Espana mas Medellin y Curitiba."
ESSCA,dominio_nuevo,essca.eu,ESSCA School of Management,https://www.essca.eu/en/programmes/all-programmes/,30,pregrado;posgrado (MSc);MBA;executive,"La ficha no traia dominio. Ojo: es una escuela FRANCESA (Angers) con 10 campus; su unico campus en Espana es MALAGA, no Barcelona. La ficha la clasifica como Spain sin ciudad, asi que el catalogo que se extraiga sera mayoritariamente frances."
EU Business School,ok,,EU Business School,https://www.euruni.edu/en/Programs/Discover-Our-Programs.html,60,foundation;pregrado;posgrado (MSc);MBA;DBA;summer school,"El sitio filtra bots: devuelve 403 al fetcher por defecto y 200 con un User-Agent de navegador. El catalogo esta partido por nivel (/en/Programs/Bachelor-s.html, /MBA.html, /DBA.html...), no en una sola pagina; ~20 bachelors solo en el bloque de grado."
Hamelin-Laie International School,dominio_nuevo,hamelinschool.com,Hamelin-Laie International School Barcelona,https://www.hamelinschool.com/academic-excellence,5,high_school (infantil;primaria;secundaria;bachillerato;IB Diploma),"La ficha no traia dominio. No publica un catalogo de programas sino 5 etapas educativas: la extraccion no va a encontrar 'programas' aqui. Esta en Montgat (~20 min de Barcelona), no en Barcelona ciudad, y pertenece al grupo Nord Anglia."
ICEDU,dominio_nuevo,icedu.es,ICEDU - International Council of Education,https://www.icedu.es/centros-de-fp/,6,vocacional (FP);micro-credenciales;idiomas;cursos de verano,"La ficha no traia dominio ni puede_vender. No es un centro que matricule: es una consultora paraguas que gestiona movilidad e internacionalizacion para centros de FP de Bilbao (Argi Arte, Tech Institute of Bilbao, Escuela Tecnica de Verano Bizkaia). El catalogo real vive en cada centro, no en icedu.es - extraer de aqui da programas de terceros."
ID Digital School,dominio_nuevo,iddigitalschool.com,ID Digital School,https://iddigitalschool.com/masteres-oficiales/,8,posgrado (masteres oficiales);bootcamp;cursos ejecutivos,"La ficha no traia dominio. Aviso de duplicado: los 5 masteres oficiales los titula la UCJC, que es otra ficha de este mismo lote - los mismos programas pueden salir dos veces en el catalogo final."
IED,dominio_nuevo,ied.es,IED Istituto Europeo di Design,https://www.ied.es/cursos,200,vocacional (ciclos formativos);pregrado (titulo superior / BA Hons);posgrado;cursos y bootcamps,"iedmadrid.com hace 301 a ied.es. El sitio unico cubre Madrid, Barcelona y Bilbao (IED Kunsthal) a la vez, ademas de las sedes italianas: hay que filtrar por ciudad o se cuelan programas de Milan, Roma y Florencia."
INSA,ok,,INSA Barcelona - Business Marketing & Communication School,https://www.insabarcelona.com/estudios/,30,vocacional (FP grado superior);pregrado;posgrado;MBA;idiomas,"Coherente con la ficha (puede_vender=todos). No ofrece FP de grado medio, solo superior."
Insenia,dominio_nuevo,insenia.es,Insenia Design School,https://www.insenia.es/,15,posgrado (masteres propios);cursos,"insenia.org hace 301 a insenia.es. Las fichas de programa cuelgan de /program/. La ficha dice pregrado+posgrado pero no hay pregrado: es una escuela de interiorismo con masteres propios acreditados via UDIMA y cursos cortos."
International Business School Barcelona ESEI,ok,,ESEI International Business School,https://www.eseibusinessschool.com/programmes/,25,pregrado;posgrado;MBA;cursos cortos;executive online,"Coherente con la ficha. El nombre en el sitio es ESEI International Business School (la ficha lo trae invertido)."
