# Lote 06 · 16 instituciones · 2026-08-07 · solo dominio oficial de cada ficha · 403 reintentados con UA+headers de Chrome · DNS verificado contra 8.8.8.8
Sydney PTE Academy | si | sydneypte.com.au | Sydney PTE Academy | si | https://www.sydneypte.com.au/courses/ | 3 | Solo preparacion examen PTE Academic | institucion (centro de coaching) | NO muestra RTO ni CRICOS · no otorga titulacion, es prep de examen · no sirve para visa de estudio · puede_vender vacio y category null
CCEL - Canadian College of English Language | si | canada-english.com | Canadian College of English Language (CCEL) | si | https://canada-english.com/en/smrt-english-esl | ~15-20 propios | Idiomas ESL (todos los niveles) + pathways | institucion | los diplomas vocacionales que aparecen son de PARTNERS (Canadian College, Stenberg College), NO los otorga CCEL · puede_vender trae "Idiomas" duplicado
Union College | si | union.edu | Union College (Schenectady, NY · fundado 1795) | si | https://www.union.edu/academic/majors-minors | 62+ areas | Solo Bachelor (liberal arts) | institucion | "American Honors Program" y "American Success Program" de puede_vender NO APARECEN en el sitio · ficha dice ciudad "Nueva York" pero esta en Schenectady (~4h de NYC) · tipo_adivinado "curso_corto" para un college que solo da pregrado
Trebas | si | trebas.com | Trebas Institute Quebec Inc. | parcial | https://www.trebas.com/programs/ | ~10 | Diploma / ACS (sin grados) | institucion | grupo GUS confirmado (infra guscancolleges.ca) · solo campus Montreal · ficha dice "Todos los programas" pero NO hay grados ni idiomas, solo diplomas de carrera
University of New England (UNE) | bloquea | une.edu.au | University of New England | si | https://www.une.edu.au/study/courses | ? | Pregrado, postgrado e investigacion/PhD | institucion | 403 Cloudflare a fetchers sin headers completos; con UA+Accept de Chrome responde 200 (cf-mitigated: challenge) · catalogo detras de BUSCADOR dinamico, no lista plana · ficha con category null, ciudad null y puede_vender vacio
Sydney institute of business and techonology (sibt) | redirige | sibt.nsw.edu.au (cae el www) | Sydney Institute of Business and Technology (SIBT) | si | https://sibt.nsw.edu.au/courses/ | ~7 | Diploma pathway + Foundation | institucion | puede_vender INCONSISTENTE: dice "Vocacionales (Cert, Dip, Adv Dip)" y "Todos los programas" pero NO hay Cert III/IV, ni Adv Dip, ni grados propios · es pathway a Western Sydney University · Navitas confirmado · typo "techonology" en la ficha
ICP - University of Portsmouth | si | www.navitas.com es el GRUPO · el real es icp.navitas.com | Navitas (el dominio de la ficha) / International College Portsmouth (el real) | no | https://icp.navitas.com/ | navitas.com lista 90+ colleges | n/a | red / grupo paraguas | 🔴 FICHA FANTASMA: el dominio apunta al holding Navitas, no al college. En navitas.com "ICP" solo aparece como una fila del directorio. Extraer de aqui traeria los 90+ colleges del grupo como si fueran programas de Portsmouth. CORREGIR sitio a icp.navitas.com (responde 200)
McKendree University | si | mckendree.edu | McKendree University | si | https://www.mckendree.edu/academics/programs/ | 50+ majors | Pregrado + Postgrado (presencial y online) | institucion | -
Galway Business School | si | galwaybusinessschool.ie | Galway Business School | si | https://www.galwaybusinessschool.ie/programmes/ | ~6 | NFQ 6-8: certificados + bachelor | institucion | puede_vender INCONSISTENTE en 2 frentes: NO hay postgrado (nada de NFQ 9) y los "Idiomas" son de OTRA entidad, Galway Cultural Institute, con dominio propio · "Todos los programas" es falso
New College Group - ncg | redirige | newcollegegroup.com (cae el www) | New College Group - English Language Schools in the UK | si | https://newcollegegroup.com/our-courses/ | ~7+ (adultos) + juniors | Solo idiomas | red (grupo de escuelas) | es un GRUPO multi-campus, no una escuela · ficha dice "Manchester, Liverpool" pero el sitio tambien lista Cheshire y Portsmouth · puede_vender trae "Idiomas" duplicado
Browns English Language | si | brownsenglish.edu.au | BROWNS English Language School Pty Ltd (opera tambien como BROWNS Professional) | parcial | https://brownsenglish.edu.au/courses/ | ~10 | Solo idiomas (general, academico, examenes, juniors) | institucion | ficha dice solo Brisbane; el sitio lista Brisbane, Gold Coast y Melbourne · RTO 31998 / CRICOS 02663M (es RTO, asi que via "BROWNS Professional" podria haber VET que el catalogo publico no expone) · puede_vender trae "Idiomas" duplicado
Lakehead University | si | lakeheadu.ca | Lakehead University | si | https://www.lakeheadu.ca/programs | ? | Pregrado, posgrado, doctorado (+ DVM colaborativo) | institucion | ficha pone "Ontario" en el campo ciudad: es la PROVINCIA · campus reales Thunder Bay, Orillia y Barrie · catalogo jerarquico por facultades/departamentos, no lista plana enumerable
