# Lote 16 · 16 instituciones · 2026-08-07 · solo dominios oficiales de cada ficha · 403 reintentados con UA de Chrome + DNS 8.8.8.8
International House - Brisbane | si | ihworld.com | International House World Organisation | no | https://ihworld.com/learn/study-abroad/study-abroad-schools/ | ~50 escuelas afiliadas (no programas) | Ingles general, examenes (Cambridge/IELTS), Business English, young learners, CELTA/formacion docente | red / grupo paraguas | FANTASMA: el dominio es el de la RED IH (130+ escuelas afiliadas en 45+ paises, "privately owned and operated"), no el de la escuela de Brisbane · el directorio de escuelas NO lista NINGUNA en Australia ni en Brisbane · hay que re-localizar el dominio propio o dar la ficha de baja
Santa Monica College | si | smc.edu | Santa Monica College | si | https://www.smc.edu/academics/areas-of-interest/all-programs.php | ~200+ | Associate, transfer (UC/USC/LMU), algunos Bachelor, certificados, ESL, community education | institucion | category dice "College Privado" y SMC es un COMMUNITY COLLEGE PUBLICO de California · catalogo real vive en catalog.smc.edu (sistema aparte)
Ravensbourne University | si | ravensbourne.ac.uk | Ravensbourne University London | parcial | https://www.ravensbourne.ac.uk/study | ? | Pre-degree, Undergraduate, Postgraduate, Professional Development | institucion | nombre real incluye "London" · partner_group "Oxford International" NO se menciona en ningun lado del sitio · catalogo es BUSCADOR dinamico (course search), no lista enumerable
James Cook University Brisbane (JCUB) | redirige + bloquea | jcub.edu.au 301 -> jcu.edu.au/brisbane | ? (Cloudflare managed challenge "Just a moment...") | ? | ? | ? | ? | ? | el dominio de la ficha YA NO ES SUYO: 301 permanente al campus Brisbane dentro de jcu.edu.au · el destino devuelve challenge de Cloudflare incluso con UA de Chrome (NO esta muerto, bloquea) · ficha sin ciudad, sin category y con puede_vender VACIO · requiere fetch con navegador real
New Zealand Management Academies Limited | si | nzma.ac.nz | New Zealand Management Academies Ltd (NZMA) | si | https://www.nzma.ac.nz/courses | ? (12 areas de estudio) | Vocacional: certificados y diplomas (no se confirma degree) | institucion (opera 3 marcas: NZMA, The Culinary Collective, NZIS · parte de UP Education) | ficha dice 3 ciudades (Auckland, Wellington, Christchurch) y el sitio lista ~9 campus + online (Hamilton, Manukau, Sylvia Park, Porirua, Trades South, Hastings) · el dominio alberga 3 marcas internas + footer del grupo UP Education · puede_vender contradictorio: "Vocacionales" y "Vocational and Higher Education" a la vez
ELISAVA | si | elisava.net | Elisava Facultad de Diseno e Ingenieria de Barcelona | si | https://www.elisava.net/grados/ y https://www.elisava.net/masters/ | ~20+ | Grado (2), Master/Postgrado (mayoria), cursos cortos, summer, study abroad, Doctorado | institucion (adscrita a UVic-UCC) | PUEDE_VENDER INCOMPLETO: la ficha solo permite "Postgrado, study abroad y summer" pero Elisava SI otorga GRADOS (Diseno e Innovacion · Ingenieria de Diseno Industrial) y tiene doctorado · ademas tiene campus en Madrid, no solo Barcelona · titulos van adscritos a UVic-UCC
BPP University | si | bpp.com | BPP (BPP Holdings Limited) · parte de Lyceum Education Group | parcial | https://www.bpp.com/courses | 300+ programas | Pregrado, Postgrado, cualificaciones profesionales, apprenticeships, CPD | red / grupo paraguas | el dominio es el del GRUPO, no el de la universidad: aloja Firebrand, StaySharp, Buttercups, Estio, Digital Marketing Institute, Acsenda, Arbutus College y BPP Institute ademas de BPP University · partner_group "Oxford International" no aparece · el catalogo mezcla cursos profesionales no-universitarios con los degrees
Signet Institute | si | signet.edu.au | Signet Institute Of Australia | parcial | https://signet.edu.au/courses/ | ~19-20 | Certificate III (9), Certificate IV (3), Diploma (5), Advanced Diploma (2), Graduate Diploma (1) | institucion (RTO) | CATALOGO NO ENUMERABLE: el sitio es una SPA React que devuelve HTML vacio ("You need to enable JavaScript") · la unica via de extraccion es el sitemap.xml (63 URLs, ultima modificacion jul-2024 · sitio posiblemente sin mantenimiento) · puede_vender "Todos los programas" es FALSO: 0 bachelor, solo VET · las 5 areas son automotive, business, community, construction, healthcare
The University of Adelaide College | no (el host de la ficha) / redirige (el apex) | www.college.adelaide.edu.au = NXDOMAIN en 8.8.8.8 · college.adelaide.edu.au 301 -> www.kaplancollegeadelaide.edu.au | Kaplan International College Adelaide | no | https://www.kaplancollegeadelaide.edu.au/programs | ~18 | Foundation Studies (2), Degree Transfer standard+extended (10), Pre-Masters (3), English EAP/General (2), Express Preparation (1) | institucion (pathway operado por Kaplan hacia Adelaide University) | CAMBIO DE MARCA + HOST MUERTO: el subdominio exacto de la ficha (www.) NO RESUELVE en DNS publico · el apex redirige a un dominio distinto y la institucion ya se llama "Kaplan International College Adelaide" · la universidad destino ahora se presenta como "Adelaide University" (fusion con UniSA) · ficha sin ciudad, sin category, puede_vender VACIO
EP English Path / GBS Group | si | englishpath.com | English Path (EP), part of the GEDU group | parcial | https://www.englishpath.com/courses/ | ~15-20 | General English (+ frances, aleman, arabe), examenes, Business English, young learners, Pathway, certificados profesionales, CELTA, Work & Study | institucion (cadena propia dentro del grupo GEDU) | CIUDADES MAL: la ficha dice Londres/Manchester/Birmingham/Leeds y el sitio NO lista Manchester · si lista 11 campus en 9 paises (Londres, Birmingham, Leeds, Dublin, Malta, Paris, Berlin, Toronto, Dubai, Riad, Brisbane) · el nombre de la ficha mezcla dos marcas (EP y GBS) y GBS no aparece en este dominio · "Todos los programas" es enganoso: los degrees viven en GEDU Global, otro dominio
Insenia | redirige | insenia.org 301 -> insenia.es | Insenia Design School Madrid | parcial | https://www.insenia.es/ (listado por secciones, no hay indice unico) | ~10-15 | Masteres profesionales (homologados por UDIMA), cursos profesionales 12 meses, cursos cortos | institucion (escuela vocacional de diseno de interiores) | tipo_adivinado "pregrado" y puede_vender "Pregrado & Postgrado / Todos los programas" NO CORRESPONDEN: no otorga pregrado, solo masteres profesionales y cursos de interiorismo/arquitectura de interiores · el dominio de la ficha (.org) redirige a .es · catalogo sin pagina indice, hay que recorrer URLs sueltas
Mastery Institute Australia (MIA) | si | mastery.edu.au (www 301 -> apex) | QIHE Pty Ltd T/A Mastery Institute Australia · RTO 40813 | si | https://mastery.edu.au/ (menu "Our Course", sin indice unico) | ~5-6 | Certificate III (Early Childhood), Diploma (Remedial Massage), certificaciones de primeros auxilios HLTAID011/012, CPE, VET Student Loans | institucion (RTO) | ciudad de la ficha VACIA: esta en Brisbane QLD (Level 5, 119 Charlotte St) · category y puede_vender VACIOS para un RTO vocacional · catalogo fragmentado: los short courses viven en una plataforma externa, no hay pagina unica que los liste
Le Cordon Bleu | si | cordonbleu.edu | Le Cordon Bleu International B.V. | si (marca) / parcial (sede) | https://www.cordonbleu.edu/programmes/es y campus Madrid en https://www.cordonbleu.edu/madrid/inicio/es | ~30+ campus a nivel red · ~7-8 programas en Madrid | Diplomas profesionales (Grand Diplome, Cocina, Pasteleria, Cocina Espanola, Plant-Based), Grado de Gastronomia (con Univ. Francisco de Vitoria), Bachelor/Master en hospitality, cursos cortos | red (institucion global con 30+ campus) | el dominio es el de la RED MUNDIAL, no el de la sede de Madrid · la ficha dice Spain/Madrid pero el dominio raiz mezcla programas de 30+ paises · para extraer hay que fijarse en /madrid/ o la extraccion traera catalogo global · el Grado de Gastronomia lo titula la Universidad Francisco de Vitoria, no LCB
La Trobe College Australia | si | latrobecollegeaustralia.edu.au | La Trobe College Australia (Navitas Bundoora Pty Ltd, ABN 92 143 736 789) | si | https://www.latrobecollegeaustralia.edu.au/study-options/ | ~25 | Foundation Studies (2), Ingles (3), Undergraduate Certificates (6), Diplomas (9) | institucion (pathway college operado por Navitas) | ficha sin ciudad (es Melbourne/Bundoora), sin category y con puede_vender VACIO para un college con ~25 programas · partner_group deberia decir Navitas (mismo grupo que aparecio en el lote 09 con Waikato y Swansea)
Scuola Leonardo Da Vinci | bloquea | scuolaleonardo.com | Scuola Leonardo da Vinci - Italian language school | si | https://www.scuolaleonardo.com/Italian-language-general-courses.html (+ /academic-courses-in-italy.html) | ~15-20 tipos de curso | Italiano general, larga duracion, examenes (CILS/CELI), senior, individual, arte y moda, preparacion universitaria e IMAT (medicina) | institucion (4-5 escuelas propias) | 403 sin UA de navegador, 200 con UA de Chrome (NO esta muerto) · CIUDADES INCOMPLETAS: la ficha dice Milan/Roma/Florencia y el sitio tambien opera TURIN y VIAREGGIO · puede_vender solo "Idiomas" pero tambien vende preparacion a universidad italiana e IMAT y cursos de arte/moda · catalogo en URLs .html sueltas, sin indice unico
The Language Gallery - TLG | si | thelanguagegallery.com | The Language Gallery (TLG) | parcial | https://www.thelanguagegallery.com/business-courses/ | 2 | Certificate of Higher Education (L4) y Diploma of Higher Education in Business Management (L5) | institucion (marca del grupo GUS) | DOS ERRORES GRAVES: (1) PAIS FALSO - la ficha dice Canada / Toronto y Vancouver y el sitio NO menciona Canada en ningun lado; opera solo en UK (Londres, Birmingham, Nottingham) · (2) YA NO VENDE IDIOMAS - la seccion /language-courses/ redirige al contenido de negocios y el sitio dice textualmente que solo se puede elegir entre los DOS cursos de business · la ficha la marca "Idiomas" x2 · GUS solo aparece en la ruta de un asset del footer, nunca por escrito
# nota: "muertos" cuenta 1 = el host exacto de la ficha de Adelaide College (www.college.adelaide.edu.au, NXDOMAIN en 8.8.8.8); el apex si resuelve pero lleva a otra marca.
# nota: "fantasmas" = IH Brisbane (dominio de la red, sin ninguna escuela en Australia) y TLG (ficha ubicada en Canada, institucion 100% UK sin oferta de idiomas).
# nota: "nombre_distinto" cuenta los casos materiales: Ravensbourne (falta "London"), JCUB (dominio absorbido por jcu.edu.au), Adelaide College -> Kaplan International College Adelaide, Insenia -> Insenia Design School Madrid, BPP University -> grupo BPP/Lyceum, IH Brisbane -> IH World Organisation, TLG (alcance distinto).
# nota: catalogos NO enumerables por fetch estatico: Signet (SPA React, solo sitemap), Ravensbourne (buscador dinamico), JCUB (Cloudflare), Insenia y Mastery y Scuola Leonardo (sin pagina indice).
# RESUMEN: ok=4 muertos=1 redirigen=3 nombre_distinto=7 no_institucion=3 duplicados=0 fantasmas=2
