# Lote 26 · 16 instituciones · 2026-08-07 · solo dominios oficiales de cada ficha · 403 reintentados con UA de Chrome · DNS 8.8.8.8 · HTML crudo escaneado por spam inyectado · certificados TLS verificados
SPD - Scoula Politecnica di Design | si | scuoladesign.com | SPD - Scuola Politecnica di Design | parcial | https://www.scuoladesign.com/courses/ | ~15 | Foundation, 4 BA, 8 MA, preparatorios, cursos cortos | institucion (escuela privada de diseno) | ERROR DE TIPEO EN LA FICHA: "Scoula" debe ser "Scuola" · category "Universidad" es incorrecta: es escuela privada de diseno, no universidad
South Sydney College | si | ssc.edu.au | South Sydney College (RTO 45279 · CRICOS 03648B) | si | https://ssc.edu.au/our-campuses-courses/ | ? (7 disciplinas) | Cert III y IV, Diploma, Advanced Diploma, Graduate Diploma, micro-credenciales | institucion (RTO) | puede_vender VACIO y category null pese a que otorga Cert/Dip/AdvDip/GradDip · tipo_adivinado "curso_corto" incompleto · ciudad null: sedes Burwood, Surry Hills, Ultimo (NSW) y Gold Coast (QLD), no una sola
University of Europe for Applied Sciences | si | ue-germany.com | University of Europe for Applied Sciences | si | https://www.ue-germany.com/programmes | ? (6 areas) | Bachelor, Master, MBA, dual, Foundation Year | institucion (parte de GUS Germany GmbH) | CIUDADES INCOMPLETAS: la ficha dice "Hamburgo, Berlin" pero el sitio lista tambien Iserlohn, Potsdam (Innovation Hub) y DUBAI · el partner_group GUS esta bien
LSI | si | lsi.edu | Language Studies International (LSI) | si | https://www.lsi.edu/sp/cursos-de-idiomas | ~20 tipos de curso x 14 escuelas | Ingles general e intensivo, examenes (IELTS/TOEFL/Cambridge), Business/Medical/Legal/Aviation English, juniors 6-17, CELTA, frances, aleman | red (cadena de 14 escuelas propias en 8 paises) | PAISES INCOMPLETOS: la ficha dice "UK, Canada, USA, Australia, NZ" y faltan FRANCIA (Paris) y SUIZA (Zurich) · Australia es solo Brisbane · no es una institucion unica sino una cadena: la extraccion debe hacerse por sede
Stott's Colleges | redirige | www.stotts.edu.au REDIRIGE a acknowledgeeducation.edu.au | Acknowledge Education | no | https://www.acknowledgeeducation.edu.au/courses | ? (6 areas de estudio) | Certificados, Diplomas, Advanced Diplomas, pregrado, postgrado, Graduate Diploma, VCE, ELICOS | institucion | REBRANDING: el dominio de la ficha redirige y la marca "Stott's" NO APARECE EN NINGUNA PARTE del sitio nuevo · hay que renombrar la ficha a Acknowledge Education · sedes reales: Melbourne, Sydney, Brisbane, Perth, Adelaide (la ficha no trae ciudad)
Australian National University (ANU) | si | anu.edu.au (www.anu.edu.au/study redirige 301 a study.anu.edu.au) | The Australian National University (ANU) | si | https://programsandcourses.anu.edu.au/degree-builder/ | ? (599 combinaciones de doble titulacion solo en pregrado) | Pregrado, Postgrado coursework, Investigacion PhD/MPhil, intercambio, idiomas | institucion | puede_vender VACIO y tipo_adivinado "curso_corto" para una universidad Group of Eight completa · category null · el catalogo es un CONSTRUCTOR DINAMICO (degree-builder), no una lista enumerable
Uceda School | si | ucedaschool.edu (www redirige a apex) | UCEDA English Schools / UCEDA School | parcial | https://ucedaschool.edu/uceda-school-english-courses/ | 3 niveles (beginner/intermediate/advanced) | Solo ESL | institucion (acreditada CEA) | SEDES INCOMPLETAS: la ficha dice "Orlando, New York, Palm Beach" pero el sitio lista ademas PROVO (Utah) y LAS VEGAS (Nevada, 2 sedes) · puede_vender trae "Idiomas" DUPLICADO
Coder Academy | si | coderacademy.edu.au (http y www redirigen a apex https) | Academy of Interactive Technology Pty Ltd trading as Coder Academy Australia (RTO 90511 · PRV12005 · CRICOS 02155J) | parcial | https://coderacademy.edu.au/courses | 1 | Diploma of Data Science (Higher Education) · la home menciona bootcamps que NO estan en /courses | institucion | PARTNER_GROUP DESACTUALIZADO: el operador ya no es RedHill Education sino AIT (Academy of Interactive Technology, ait.edu.au) · SENAL DE WIND-DOWN: solo queda 1 curso listado y su intake dice "TBC" · puede_vender dice "Vocacionales (Cert, Dip, Adv Dip)" pero lo que otorga es un diploma de EDUCACION SUPERIOR, no VET · ciudad "Brisbane" incompleta (Sydney, Melbourne, Brisbane)
Brunel University London Pathwat college | redirige | www.lbic.navitas.com REDIRIGE a pathway.brunel.ac.uk | Brunel University of London Pathway College (antes London Brunel International College, LBIC) | parcial | https://pathway.brunel.ac.uk/study/ | ~16-17 | Foundation, First Year/Year 1, Pre-Master's | institucion (college pathway operado por Navitas) | DOMINIO OBSOLETO EN LA FICHA: lbic.navitas.com ya solo redirige · CAMBIO DE NOMBRE: LBIC paso a "Brunel University of London Pathway College" · ERROR DE TIPEO: "Pathwat" debe ser "Pathway" · el cert TLS de pathway.brunel.ac.uk vence el 15-ago-2026 (7 dias) · Navitas sigue siendo el operador
William Blue College of Hospitality Management at Torrens University Australia | si (pero es una pagina de "nuestra herencia") | torrens.edu.au | Torrens University Australia · William Blue figura como marca historica | parcial | https://www.torrens.edu.au/courses/hospitality | 3 en esa pagina | Diploma, Associate Degree y Bachelor of Business (Hospitality & Tourism Management) | institucion (marca absorbida) | MARCA RETIRADA: la URL de la ficha es literalmente /about/our-heritage/ · el sitio dice "Part of Torrens University Australia since 2017" · William Blue YA NO ES UNA INSTITUCION SEPARADA, es una linea de producto de Torrens · puede_vender VACIO y category null pese a que hay bachelor · la ficha deberia colgar de Torrens, no ser autonoma
Exportise | redirige | exsportise.co.uk (redirige a www) | Exsportise | parcial | https://www.exsportise.co.uk/academies | ~11 academias | Campamentos residenciales de verano ingles + deporte/musica/danza, 9-17 anios | operador de campamentos (no institucion: ALQUILA internados britanicos como sede) | ERROR DE TIPEO EN LA FICHA: "Exportise" debe ser "Exsportise" · NO ES UNA INSTITUCION: es un operador que renta 4 internados (Haileybury, Oundle, Seaford College, Worth School) · puede_vender "Todos los programas" es excesivo: solo hay summer camps
