# Lote 34 · 2026-08-07
# Nota de entorno: la red intercepta TLS (schannel CRYPT_E_NO_REVOCATION_CHECK en los 16 dominios).
# Se usó curl --ssl-no-revoke + UA de Chrome. Por eso NO se puede auditar de forma fiable
# la validez de los certificados de este lote (patrón f): el proxy los re-firma. Todo lo demás sí.

Vocational Training Institute | si | www.vocationalinstitute.com.au (http 301 -> https) | Vocational Training Institute (RTO 41111) | si | https://www.vocationalinstitute.com.au/courses/ | 3 | Diploma, Advanced Diploma y Graduate Diploma (los 3 son BSB de liderazgo/gestión) | institucion | Catálogo minúsculo: 3 cursos, todos de gestión BSB. Bloque COVID-19 sin actualizar desde hace años. Ficha sin ciudad, sin category y con puede_vender vacío.
BowValley College | redirige | international.bowvalleycollege.ca -> www.bowvalleycollege.ca/apply/i-am-ready/international/future (3 saltos) | Bow Valley College | parcial | https://www.bowvalleycollege.ca/program-list | ? (catálogo amplio) | Certificado, Diploma, Post-diploma, Grado | institucion | El subdominio "international" ya no es sitio propio: cae en una página de "apply". El sitio a indexar es www.bowvalleycollege.ca/program-list. ciudad en ficha = "Alberta" (es la provincia); la ciudad real es Calgary. Nombre real lleva espacio: "Bow Valley".
CCI-LEX | si | cci-lex.ca | Cultural Connections Institute - The Learning Exchange (CCI-LEX) | parcial | https://cci-lex.ca/student-programs/ | ~10 | Solo inglés: general, IELTS/CELPIP, pronunciación, comunicación, workplace, tutoría privada | institucion | ciudad en ficha = "Alberta" (provincia); la real es Edmonton. La ficha guarda solo la sigla, no el nombre largo. puede_vender trae "Idiomas" duplicado.
Lexis English | redirige | www.lexisenglish.com -> lexisenglish.com | Lexis English (con división vocacional Lexis Training, RTO 41178 / CRICOS 03459G) | si | https://lexisenglish.com/courses/ | ? (~15-20) | Inglés general, Cambridge, Juniors, testing + VET vocacional | red | Es un GRUPO de campus, no una escuela. La ficha lista 4 ciudades; el sitio opera 6 en Australia (suma Noosa y Byron Bay) y además Japón y Corea, así que pais="Australia" se queda corto. Tiene RTO vocacional propio: puede_vender "Idiomas" (duplicado) subestima la oferta.
Suffolk University | si | www.suffolk.edu | Suffolk University | si | https://www.suffolk.edu/academics/undergraduate-programs | 120+ (70+ pregrado, 50+ posgrado, + Derecho) | Bachelor, Master, JD | institucion | partner_group="INTO" NO tiene un solo rastro en el sitio (0 menciones de INTO/into.com en el HTML crudo). Convenio probablemente terminado: verificar antes de vender vía pathway INTO.
Saskatchewan Polytechnic | si | saskpolytech.ca | Saskatchewan Polytechnic | si | https://saskpolytech.ca/programs-and-courses/browse-programs/a-z-listing.aspx | 150+ | Certificado, Diploma, Grado (bachelor), Aprendizaje/apprenticeship | institucion | ciudad en ficha = Saskatoon, pero opera 4 campus (Moose Jaw, Prince Albert, Regina, Saskatoon) + distancia. El sitio confirma certificado/diploma/grado pero NO confirma posgrado, y puede_vender promete "Pregrado & Postgrado".
Centro de Enseñanza Universitaria SEK S.A - Universidad Camilo Jose Cela | si | www.ucjc.edu | Universidad Camilo José Cela | parcial | https://www.ucjc.edu/oferta-academica/ | ? (amplio, 5 áreas de conocimiento) | Grado, Máster, Doctorado, FP de grado superior, Expertos/Diplomas de especialización | institucion | El nombre de ficha mezcla la razón social con la marca; el sitio se presenta solo como "Universidad Camilo José Cela" (SEK Education Group es el grupo paraguas, aparece en el footer). puede_vender limita a "Portafolio Posgrados" pero hay grados, doctorados y FP.
Humber College | bloquea | humber.ca | Humber Polytechnic | parcial | https://humber.ca/explore-programs | ? (catálogo amplio) | Certificado, Diploma, Advanced Diploma, Bachelor, Master, Graduate Certificate | institucion | DOS cosas: (1) RENOMBRADA a "Humber Polytechnic" — la ficha usa el nombre viejo; (2) devuelve 403 a fetchers sin UA de navegador y 200 con UA de Chrome (274 KB, sin challenge de Cloudflare) — NO está caída. Otorga bachelor y master, muy por encima de puede_vender "Vocacionales (Cert, Dip, Adv Dip)".
RCIIS | si | rciis.ca | RCIIS · Study English in Canada | si | https://rciis.ca/list-of-programs | ~30 | Solo inglés (+2 de francés), niveles principiante a avanzado, cursos de 4-12 semanas | institucion | category="College Privado" y puede_vender="Vocacionales (Cert, Dip, Adv Dip)" CONTRADICEN el sitio: es escuela de idiomas pura, cero diplomas vocacionales. Ficha sin ciudad; la real es Toronto, Ontario (1992 Yonge St). Banner de tormenta de nieve del 26-ene-2026 aún publicado.
UTS College | redirige | www.utscollege.edu.au -> utscollege.edu.au | UTS College Limited (ABN 39 001 425 065) | si | https://utscollege.edu.au/programs | ? (10+ áreas de estudio) | Foundation, Diploma, Pre-Master's, Inglés académico, Cambridge AS/A Levels | institucion | Es el pathway college de UTS (entidad controlada por la universidad, ex-Insearch), NO la University of Technology Sydney: no confundir al asignar programas. Ficha sin ciudad (Sydney), sin category y con puede_vender vacío.
Domus Academy | si | www.domusacademy.com | Domus Academy (razón social: Nuova Accademia S.r.l., via C. Darwin 20, Milán) | si | https://www.domusacademy.com/programmes/master-courses-postgraduate/ | ~12 másteres + BA + cursos cortos | Bachelor of Arts, Máster/MA de 1 y 2 años, semestre, cursos cortos, workshops | institucion | Comparte razón social con NABA (Nuova Accademia S.r.l.), así que partner_group es correcto pero está mal escrito ("Nouva Accademia NABA"). category="Universidad" es impreciso: es academia privada de diseño/moda/negocio. Ojo al indexar: /programmes/ a secas da 404, solo existen las subpáginas.
