# Lote 05 · 2026-08-07

James Cook University (JCU) | bloquea | www.jcu.edu.au | ? | ? | ? | ? | ? | institucion | Cloudflare devuelve challenge "Just a moment..." (403) incluso con UA de Chrome y de Safari; DNS resuelve OK (Cloudflare 104.18.18.28) — el sitio esta vivo pero no auditable por fetch. Requiere navegador real.
Fleming College | si | flemingcollege.ca | Sir Sandford Fleming College (usa "Fleming College" como marca) | parcial | https://flemingcollege.ca/programs/ (A-Z en /programs/a-z) | ~80+ | Certificado, Diploma, Advanced Diploma, Post-grad certificate, Aprendizajes, Bachelor (nursing con Trent) | institucion | Ficha dice "College Privado" pero es un colegio PUBLICO de Ontario; partner_group=GUS no aparece en el sitio (GUS opera un campus aparte "Fleming College Toronto"), verificar que el acuerdo comercial sea sobre este dominio.
Charlton Brown | redirige | charltonbrown.edu.au (301 desde charltonbrown.com.au) | Charlton Brown Pty Ltd trading as Charlton Brown (RTO 2508) | si | https://charltonbrown.edu.au/course/ | ? (5 facultades: ELICOS, Educacion/Salud/Comunidad, Hospitalidad/Cocina, Ingenieria/IT, Negocios) | Certificado, Diploma, Advanced Diploma, ELICOS, paquetes pathway | institucion | El dominio de la ficha (.com.au) redirige a otro host (.edu.au) — actualizar. Es miembro del NIET Group (logos NIET/Rhodes/UniTrack): dominio y marca conviven con un grupo paraguas.
Munich Business School | no | ? | ? | ? | ? | ? | ? | ? | El campo `sitio` dice literalmente "nait" — no es un dominio. "NAIT" es el acronimo del Northern Alberta Institute of Technology (Canada): parece contaminacion de otra ficha. No se audito nada porque la regla es visitar solo el dominio oficial de la ficha y no hay ninguno. Requiere corregir el dato en origen.
Royal Greenhill Institute of Technology | no | — | — | ? | — | — | — | ? | DOMINIO MUERTO confirmado contra DNS publico 8.8.8.8: NXDOMAIN tanto en www.rgit.edu.au como en el apex rgit.edu.au. No es un 403 ni un bloqueo: el dominio no existe.
William Angliss Institute of TAFE | si | www.angliss.edu.au | William Angliss Institute (TAFE Victoria · RTO 3045 · CRICOS 01505M) | parcial | https://www.angliss.edu.au/courses/ | ? (categorias: Foods, Tourism, Hospitality, Events, Hotel Management) | Certificado, Diploma, Grado (degree), cursos cortos, aprendizajes | institucion | El nombre en el sitio es "William Angliss Institute" sin "of TAFE" (es TAFE, pero no lo usa en la marca). Sin observaciones criticas.
Western Sydney University - Sydney City Campus | redirige | city.westernsydney.edu.au (301 desde westernsydney.edu.au/city) | Western Sydney University Sydney City Campus | si | https://city.westernsydney.edu.au/courses/ | ~14 | Pregrado (9) · Postgrado/master (5) · pathways | institucion | El path de la ficha redirige a otro host (subdominio city.). El campus opera con Navitas como socio operador (link "Agent Information" a Navitas): la oferta es un subconjunto de WSU, no el catalogo completo de la universidad.
University of Tasmania (UTas) | bloquea | www.utas.edu.au | ? | ? | ? | ? | ? | institucion | Cloudflare challenge "Just a moment..." (403) en /international, / y /courses, con UA de Chrome y de Safari. Sitio vivo pero no auditable por fetch. La ficha apunta a /international (portal de admisiones internacionales), no a la raiz.
IELS Malta | redirige | www.iels.school (desde ielsmalta.com/en) | IELS - Institute of English Language Studies | si | https://www.iels.school/english-courses | ~11 | Idiomas: General, Intensive, 30+, Business, IELTS, TOEIC, Cambridge FCE/CAE/CPE, EAP, privadas, online, CELTA (teacher training) | institucion | El dominio de la ficha ya solo sirve una pagina de redireccion a iels.school — actualizar. Lista estatica y enumerable. `puede_vender` duplica "Idiomas" dos veces (ruido en el dato).
New England College | si | www.nec.intostudy.com | New England College (sitio operado por INTO University Partnerships) | si | https://www.nec.intostudy.com/en/degrees | 60+ pregrado · 20+ postgrado | Pregrado y Postgrado (no solo pathway) | agencia | El dominio de la ficha NO es el de la institucion (nec.edu) sino el micrositio del partner INTO. Lo que se extraiga de aqui es el catalogo curado por INTO, no el catalogo real del college. Coherente con partner_group=INTO, pero hay que saberlo antes de extraer.
QIBA - Queensland International Business Academy | si | qiba.edu.au | Queensland International Business Academy (QIBA Pty Ltd) | si | https://qiba.edu.au/all-courses/ | 13+ | Certificate IV, Diploma, Advanced Diploma (VET), ELICOS, PTE prep, Professional Year | institucion | -
