institucion,accion,dominio_anterior,dominio_nuevo,nombre_nuevo,fusionada_con,evidencia
La Trobe University Sydney,corregir_dominio,latrobe.edu.au,latrobe.edu.au,,,"Campus, no duplicado: https://www.latrobe.edu.au/sydney responde 200 con titulo 'Sydney Campus, La Trobe University'. No hay dominio ni subdominio propio (sydney.latrobe.edu.au y latrobesydney.edu.au no resuelven), asi que la unica forma de separarla de la ficha 'La Trobe University' es la ruta /sydney. Esa ruta ya figura como sitio de otra entrada del catalogo maestro ('La Trobe University Sydney Campus', sitio www.latrobe.edu.au/sydney), lo que confirma la convencion. NO fusionar con la ficha de Melbourne: son sedes con oferta distinta. Aviso para la extraccion: la pagina no enumera cursos en HTML, monta un buscador Funnelback por JS con scope de campus y hay que llamar esa busqueda filtrada. Solapamiento a vigilar, que no resuelvo aqui: los Diploma y Pathway del campus los dicta La Trobe College Australia, que tiene ficha propia."
National College of Vocational Education,corregir_dominio,ncve.edu.au,ncve.edu.au,,,"El dominio era de otra entidad y ademas la ciudad estaba mal. ncver.edu.au es el National Centre for Vocational Education Research, el instituto de estadistica VET con sede en Adelaide: publica investigacion, no vende cursos. La institucion de la ficha si existe y es otra: NCVE - National College of Vocational Education, RTO 90283 y CRICOS 03686G, en ncve.edu.au (200). Su catalogo esta en /course/: el sitemap propio customcoursedetails-sitemap.xml lista 42 URLs de curso (ej. /course/diploma-of-business/, /course/certificate-iii-in-hospitality/, /course/cert-3-individual-support/). Sus sedes, segun location-sitemap.xml, son Nowra, Batemans Bay, Wollongong y Sydney, todas en NSW: el 'Adelaide' de la ficha venia arrastrado del NCVER. Ojo para la extraccion: /courses/ en plural da 404, la ruta buena es /course/. Contradiccion que no corrijo: puede_vender incluye idiomas y NCVE no ofrece ELICOS, solo VET de negocios, retail, hospitalidad y cuidado."
Ascent College of technology,corregir_dominio,hermescolleges.ca,hermescolleges.ca,,,"La institucion vive pero su sitio propio no. ascentcollege.ca resuelve (45.114.246.50) y conserva correo corporativo (MX = ascentcollege-ca.mail.protection.outlook.com, Microsoft 365), pero el HTTPS tiene el certificado caducado y hace 301 a HTTP, y el HTTP sirve la pagina por defecto de cPanel: el cuerpo entero es un meta refresh a /cgi-sys/defaultwebpage.cgi. Es una cuenta de hosting sin sitio, no un dominio muerto. Su catalogo vivo esta en la red que lo opera: hermescolleges.ca/portfolio/ascent-college/ responde 200, lo identifica como 'College de technologie Ascent Inc.', da info@ascentcollege.ca y +1 514 934 4777, y bajo 'All Programs' lista sus dos AEC: Artificial Intelligence and Machine Learning y Network Security and Ethical Cyber Piracy. Por eso se apunta a la ruta del miembro y no a la raiz del portal, que se llevaria los 6 colleges de la red. Dos cosas que no corrijo pero anoto: la ficha lo marca 'College Publico' y es un colegio de carrera PRIVADO, y la direccion que publica la red es Montreal (300-320 Cremazie East), no Laval."
George Brown College,corregir_datos,georgebrown.ca,,,,"No esta muerto: georgebrown.ca resuelve (198.96.86.176) y el college opera. Lo que hay es bloqueo de bots tipo WAF/Akamai: verificado el 10-sep-2026 que devuelve 403 con la pagina 'Access Denied ... Reference #' a TODO, con y sin www, y da el mismo 403 en la raiz, en /programs/ y en una ruta inexistente, incluso con user-agent de Chrome. Que responda igual a una URL que no existe confirma que el bloqueo es previo al enrutado, no un 404 disfrazado. Aviso para la extraccion: aqui hace falta navegador real (headless con JS y cookies); un fetcher plano no va a poder y no debe interpretarse como sitio caido. La ciudad de la ficha venia mal escrita ('Totonto')."
Georgian College,corregir_dominio,georgiancollege.ca,georgiancollege.ca,,,"georgiancollege.ca es suyo y responde 200, pero hay que fijar la ruta porque comparte host con la ficha 'Georgian English' de este mismo lote y son dos cosas distintas que se venden distinto. El catalogo del college esta en /academics/programs/ (200, y el listado se pinta en el HTML: verificado el 10-sep-2026 contando 62 etiquetas 'Ontario College Diploma', 25 'Graduate Certificate' y 12 'Degree', mas la cifra de 130+ programas full-time que declara el sitio). Ojo: /programs/ y /programs/program-finder/ dan 404, la ruta buena es /academics/programs/. No se fusiona con Georgian English: ese es su centro de idiomas, con puede_vender solo idiomas, y meterle estos 130 programas le cambiaria el catalogo entero. Ciudad: campus principal Barrie, mas Barrie downtown, Midland, Orangeville y Owen Sound; la ficha traia 'Ontario', que es la provincia."
Georgian English,corregir_dominio,georgiancollege.ca,georgiancollege.ca,,,"Es el centro de idiomas de Georgian College, no una institucion aparte, y por eso comparte host con la ficha 'Georgian College' de este mismo lote. No se fusiona: esta ficha solo puede vender idiomas y fusionarla se llevaria los 130+ programas del college a un ficha de ESL. Se acota por ruta: georgiancollege.ca/academics/english-language-studies/ responde 200 y ahi vive lo suyo, verificado el 10-sep-2026 (EAP descrito como programa intensivo de ocho niveles, mas ESLG por niveles y EAPC). La ruta es la unica cosa que distingue las dos fichas; si no se guarda, la proxima auditoria las vuelve a marcar duplicadas y la extraccion se lleva el sitio entero a las dos."
Tamwood Career,corregir_dominio,tamwood.com,tamwood.com,,,"tamwood.com se presenta como Tamwood International College (grupo ILAC) y separa su oferta en tres rutas: /study-work/ (programas de carrera: International Business & Management, Digital Marketing, Web Developer, Hospitality & Tourism), /esl/ (idiomas) y /camps/ (juniors). Esta ficha es la linea de carreras y se ancla en /study-work/. NO se fusiona con 'Tamwood Language Centres': son lineas con contrato distinto (vocacional vs idiomas) y fusionarlas cargaria el catalogo de carreras a una ficha que solo puede vender idiomas. Los programas de carrera se dictan en Vancouver."
Tamwood Language Centres,corregir_dominio,tamwood.com,tamwood.com,,,"Mismo host que 'Tamwood Career' pero ruta distinta: el area de idiomas cuelga de /esl/ y los programas juveniles de /camps/. La home solo reivindica campus en Toronto y Vancouver ('campuses in Toronto and Vancouver'): Whistler ya no figura y se quita de la ciudad. Aviso a la extraccion: /esl/ es una pagina delgada que enlaza a ilac.com para verano, el volumen real catalogado esta en /camps/. No fusionar con la ficha de carreras: comparten dueno, no catalogo."
SAE Institute GmbH,corregir_dominio,sae.edu,sae.edu,,,"sae.edu es el dominio global del grupo y hay que anclar en la ruta de pais o se extraen cursos de otros mercados: https://www.sae.edu/deu/ responde 200 (521 KB) y lista exactamente los 10 campus de la ficha (Berlin, Bochum, Frankfurt, Hamburg, Hannover, Koln, Leipzig, Munchen, Nurnberg, Stuttgart) con Diploma, Bachelor y Master en Audio, Film, Game, Software, Animation/VFX y Content Creation. Las rutas hermanas existen y separan a las otras fichas del dominio compartido: /nld/ (SAE Netherlands B.V.) y /che/ (SAE Institute Switzerland AG) devuelven 200 con sus propios catalogos, asi que no son duplicados. Aviso de datos: los bachelor los titula y valida la University of Hertfordshire (los anteriores a enero-2022, Middlesex University); no toco puede_vender."
LOKMANI LAW SCHOOL,corregir_dominio,lokmani.com,lokmani.com,,,"No tiene sitio propio, pero su catalogo si esta publicado dentro del sitio del degree college del mismo campus: https://lokmani.com/courses/law-programme/ responde 200 y es una pagina titulada 'Law Programme | Lokmani Memorial Degree College' que describe el L.L.B. (3 anos) y el B.A.-LL.B. Se ancla ahi y no en la raiz para no llevarse los 24 pregrados y 12 posgrados de la ficha hermana. No se fusiona con 'LOKMANI POSTGRADUATE SCHOOL': el Lokmani Law College (fundado 2014, aprobado por el Bar Council) es una entidad distinta del degree college (fundado 2008), aunque compartan campus y sitio."
CATS Colleges,corregir_dominio,catscambridge.com,catscambridge.com,,,"catsglobalschools.com (el dominio que propuso el auditor) responde 200 pero es el sitio del grupo tras el rebrand a CATS Global Schools: lista 13 colegios y cero programas, no sirve para extraer. El catalogo vive en cada colegio, y el unico campus CATS de la ficha que publica curriculo verificable es CATS Cambridge: https://www.catscambridge.com/curriculum/ responde 200 con GCSE, Pre-A Level, A Levels, UFP, UK High School Term y Summer. Dos correcciones de alcance que van en evidencia y no en el dominio: la sede de Boston es otra entidad con sitio propio (catsacademyboston.com, 200, catalogo en /academics/: High School Diploma, Postgraduate Program, CATS Extra) y merece ficha aparte; y Londres ya NO es CATS, es Guildhouse School (Canterbury es hoy The Worthgate School), por eso la ciudad se reduce a Cambridge."
INTO Universities,corregir_datos,intostudy.com,,,,"intostudy.com esta vivo y es el portal del propio proveedor: la ficha nombra a INTO, no a una universidad socia, asi que el dominio es el correcto. /en/study-programs si se renderiza sin JavaScript y lista los ~19 tipos de ruta (International Foundation, International Year One/Two, Pre-Master's, Academic y Pre-sessional English, Foundation y Diploma en Australia, Undergraduate/Postgraduate Direct); el buscador de cursos /en/search se pinta por JavaScript y un fetcher sin navegador vera 0 resultados. Volumen esperado pequeno: son rutas de pathway, no las titulaciones de las universidades. Correccion de sede: /en/where-to-study lista hoy UK, US, Australia, Dubai (USC Dubai) y Madrid; NO hay centro en China (solo el registro ICP del pie de pagina para servir a audiencia china), asi que la ciudad 'UK, USA, China' de la ficha esta desactualizada."
