# Lote 17 · 2026-08-07

Douglas College | si | douglascollege.ca | Douglas College | si | https://www.douglascollege.ca/programs-and-courses | 100+ | Cert, Post-Degree Cert, Dip, Post-Bacc Dip, Associate, Bachelor, Grad Dip | institucion | Ciudad de la ficha mal: los campus son New Westminster y Coquitlam (Metro Vancouver), no Vancouver ciudad
Victoria University | si | vu.edu.au | Victoria University (TEQSA PRV12152, CRICOS 00124K, RTO 3113) | si | https://www.vu.edu.au/study-at-vu/courses/browse-study-areas/all-courses-a-to-z | ~400 | TAFE/vocacional, pregrado, postgrado, Master by Research, PhD | institucion | -
San Francisco State University | si | sfsu.edu | San Francisco State University (SF State) | si | https://bulletin.sfsu.edu/programs | 76 bachelor + 63 master + 57 cert + 16 credential | Pregrado, postgrado, doctorado | institucion | El pathway con Oxford International SI existe (cpage.sfsu.edu/pathway) pero es SOLO "International Year One" (pregrado). No hay Foundation ni Pre-master: `puede_vender` "Foundation & Pre master" es incorrecto
Victorian Government Schools | bloquea | study.vic.gov.au (DNS ok -> doet-web.matrix.squiz.cloud, 2.58.104.10/.11) | ? | ? | ? | ? | ? | red | Cloudflare "Just a moment..." devuelve 403 incluso con UA de Chrome; NO es dominio muerto (DNS resuelve contra 8.8.8.8). Es el International Student Program del Dept. of Education de Victoria: paraguas de ~350 colegios publicos, no una institucion. Ficha sin category ni puede_vender
University of East Anglia | si | uea.ac.uk | University of East Anglia (UEA) | si | https://www.uea.ac.uk/search/courses | ~500 | Pregrado, postgrado, PhD, CPD y cursos cortos | institucion | Convenio INTO vigente: /study/international enlaza a INTO UEA. Pero el catalogo de pathway (Foundation/Year 1/Pre-master) NO vive en uea.ac.uk sino en el dominio de INTO; extraer pathway desde aqui no funciona
Kaplan Business School - KBS | si | kbs.edu.au | Kaplan Business School Pty Ltd (ABN 86 098 181 947) | si | https://www.kbs.edu.au/courses | ~30 | Diploma, Bachelor, Grad Cert, Grad Dip, Master (MBA) | institucion | `puede_vender` marca "Idiomas" pero solo hay English for Academic Purposes como apoyo/pathway, no ELICOS general -> inconsistente. `tipo_adivinado` "vacacional" tambien incorrecto (es higher education)
Confederation College of Applied Arts and Tech | si | confederationcollege.ca | Confederation College | si | https://www.confederationcollege.ca/programs-courses/search | 60+ full time (11 areas) | Cert, Dip, Adv Dip, Grad Cert, apprenticeships | institucion | Ciudad real Thunder Bay, Ontario (la ficha solo dice "Ontario"); ademas campus regionales en Dryden, Geraldton, Red Lake, Sioux Lookout, Kenora, Marathon, Fort Frances
Ikon Institute of Australia | si | ikon.edu.au | Ikon Institute of Australia (ABN 95 112 989 581, TEQSA PRV14055, CRICOS 03581E) | si | https://ikon.edu.au/courses/ | ~20 | Diploma, Bachelor, Grad Cert, Grad Dip, Master | institucion | `partner_group` dice "ALG - Australian Learning Group" pero el sitio declara propiedad de EDU Holdings Limited (ALG aparece solo como marca hermana en la libguide). Verificar el partner_group
ILSC | si | ilsc.com | ILSC Education Group Inc. | parcial | https://www.ilsc.com/es/language-schools/programs | ? | Idiomas (EN/FR/HI), prep de examenes, CELTA, pathway, junior, diplomas via Greystone | red | Dominio de GRUPO paraguas: 5 paises (Canada, Australia, Irlanda, India, USA/ELS) + Greystone College. La ficha dice "Canada" pero el sitio no separa por pais; catalogo no enumerable directo, hay que filtrar por escuela/ciudad. Riesgo de duplicado con fichas de Greystone si existen en otros lotes
Australian Sovereign College | si | ausc.edu.au | Australian Sovereign College | si | https://ausc.edu.au/courses | 9 | Certificate III hasta Advanced Diploma y Graduate Diploma | institucion | La ficha dice Hobart; el sitio opera Melbourne (Abbotsford, Broadmeadows) ADEMAS de Tasmania (Hobart, Huonville). Logos de partners (UTAS, Max Therapy Institute, Ruby Institute) sin relacion de propiedad declarada
TrEd College | si | tredcollege.edu.au | TrEd College | si | https://www.tredcollege.edu.au/courses/ | ~10 | General English + Diplomas (Nursing, Early Childhood) | institucion | Campo `sitio` sin protocolo (www.tredcollege.edu.au) - normalizar. Ficha sin ciudad ni category: campus reales Sydney (NSW), Canberra (ACT), Adelaide (SA). Ofrece ingles ademas de vocacional, `puede_vender` esta vacio
