# Lote 15 · 16 instituciones · 2026-08-07 · solo dominios oficiales de cada ficha · 403 reintentados con UA de Chrome + headers completos + DNS 8.8.8.8
Macquarie University | bloquea | mq.edu.au (CNAME a mqu-web.saas.squiz.cloud) | ? | ? | https://www.mq.edu.au/study/find-a-course (destino del 301 de courses.mq.edu.au) | ? | ? | institucion (no verificado en el sitio) | SITIO VIVO, NO MUERTO: Cloudflare managed challenge (cf-mitigated: challenge, "Just a moment...") devuelve 403 a todo fetcher incluso con UA de Chrome y headers de navegador · DNS resuelve OK · hasta robots.txt cae en el challenge · no auditable sin navegador real con JS
Tara Anglican School for Girls | si | tara.nsw.edu.au | Tara Anglican School for Girls | si | https://www.tara.nsw.edu.au/learning/ | ~3 divisiones + rutas IB/HSC | K-12 (ELC a Year 12) · IB PYP/MYP · IB DP desde 2027 · HSC | institucion (colegio K-12, dia e internado) | NO VENDIBLE COMO CATALOGO: es un colegio de ninas K-12, no tiene "programas" comercializables por una agencia de estudios en el exterior · tipo_adivinado "curso_corto" es falso · category NULL, ciudad NULL (es Sydney/Parramatta) y puede_vender VACIO
OHLA - Open Hearts Language Academy | si | ohla.com | Open Hearts Language Academy (OHLA) | si | https://www.ohla.com/ourprograms/ | 5 | Solo ESL: General, Academic, Exam Prep, TOEFL, Gap Year (9 niveles) | institucion | CIUDAD DESACTUALIZADA: la ficha lista "Miami, Boca Raton, Orlando, Tampa" y el sitio solo muestra Miami, Orlando y Tampa — BOCA RATON YA NO APARECE · puede_vender "Todos los programas" contradice lo visto: solo idiomas · los "12.000 programas de grado" que promociona el sitio son de UniApplyNow (empresa hermana), NO de OHLA
Western Washington University | redirige | international.wwu.edu → students.studygroup.com/study-options/direct-admit/western-washington-university (301 cross-host) | Western Washington University (pagina comercial de Study Group) | si (pero en sitio ajeno) | https://students.studygroup.com/study-options/direct-admit/western-washington-university | ~15 destacados de "200+" declarados | Undergraduate y Graduate (direct admit) | red (Study Group, no la universidad) | EL DOMINIO DE LA FICHA YA NO ES UN SITIO PROPIO: la pagina destino dice literal "This page was previously on international.wwu.edu" · NO hay catalogo enumerable, solo ~15 carreras destacadas y un prospecto PDF · para el catalogo real hay que usar wwu.edu
NAIT | si | nait.ca | Northern Alberta Institute of Technology (NAIT) | si (la ficha usa solo la sigla) | https://www.nait.ca/programs | ? (7 escuelas: Business, Construction, Energy, Health, Manufacturing, Media/IT, Transportation) | Certificados, diplomas, aprendizajes de oficios, applied degrees, educacion continua | institucion (politecnico) | ficha guarda solo la sigla, sin el nombre completo · tipo_adivinado "curso_corto" y category NULL para un politecnico que SI otorga degrees · puede_vender "Todos los programas" sin acotar
Thomas Jefferson University | si (home 200) pero catalogo ROTO | jefferson.intostudy.com | Thomas Jefferson University · sitio de INTO University Partnerships ("(c) 2026 INTO UNIVERSITY PARTNERSHIPS LTD AND IUP 2 LLP") | si | https://www.jefferson.intostudy.com/en/degrees | ? | ? | red (centro INTO, no la universidad) | PAGINA DE PROGRAMAS CAIDA: /degrees y /en/degrees devuelven HTTP 500 (el home carga bien) — la extraccion posterior fallara en este dominio · el dominio es de INTO, no de la universidad · para el catalogo real hay que usar jefferson.edu
Leeds Beckett University | si | isc.leedsbeckett.ac.uk | Leeds Beckett University International Study Centre ("Maintained by Study Group") | parcial | https://isc.leedsbeckett.ac.uk/programmes | 3 rutas | International Foundation Year, International Year One, cursos de ingles | red (International Study Centre operado por Study Group) | LA FICHA PROMETE "Pre master" Y EL SITIO NO LO OFRECE (solo Foundation, Year One e ingles) · el dominio NO es la universidad; la ficha lo clasifica como "Universidad" · para pregrado/postgrado real es leedsbeckett.ac.uk
Royal Roads University | bloquea | royalroads.ca (www.royalroads.ca.edgekey.net · Akamai) | ? | ? | ? | ? | ? | institucion (no verificado en el sitio) | SITIO VIVO, NO MUERTO: 403 persistente con UA de Chrome + Accept/Sec-Fetch completos (respuesta Akamai de 371 bytes, sin cabeceras Cloudflare) · DNS resuelve OK a Akamai · /programs y /robots.txt tambien 403 · no auditable sin navegador real
International House - LSI PORTSMOUTH | si (pero no es su dominio) | ihworld.com | International House World Organisation (red de 130+ escuelas afiliadas en 45+ paises) | no | https://ihworld.com/schools/countries/united-kingdom/ih-portsmouth/ | 0 propios (la red lista 130+ escuelas) | n/a en este dominio | red / grupo paraguas | FANTASMA + DOMINIO EQUIVOCADO: la ficha apunta al paraguas IH World, no a la escuela · el dominio propio es lsi-portsmouth.co.uk (200 OK, verificado) · la ficha mezcla dos marcas: la pagina de IH confirma "LSI Portsmouth / IH Portsmouth" · MISMO DOMINIO que la ficha de IH London en este mismo lote
International House - London | si (pero no es su dominio) | ihworld.com | International House World Organisation | no | https://ihworld.com/schools/countries/united-kingdom/ih-london/ | 0 propios | n/a en este dominio | red / grupo paraguas | FANTASMA + DUPLICADO DE DOMINIO: mismo ihworld.com que la ficha de LSI Portsmouth · el dominio propio de la escuela es ihlondon.com (200 OK, verificado) · ademas IH London vende 17 idiomas extranjeros y CELTA/DELTA, no solo ingles: puede_vender "Idiomas" se queda corto
James Cook University JCU | bloquea | jcu.edu.au (Cloudflare, 104.18.18.28) | ? | ? | ? | ? | ? | institucion (no verificado en el sitio) | SITIO VIVO, NO MUERTO: Cloudflare managed challenge 403 con UA de Chrome y headers completos · DNS resuelve OK · /courses y /courses-and-study tambien 403, coursefinder.jcu.edu.au no resuelve · la ciudad "Brisbane" de la ficha queda SIN VERIFICAR por el bloqueo
